,user1,similarity,group,phase,user2,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,count
226,gfalbarracinr,0.024,1,3,gfalbarracinr,1.0,1.0,5.0,2.0,1.0
227,aldiazve,0.009603072983354673,1,3,aldiazve,0.0,3.0,6.0,3.0,1.0
228,diegoaguevarar,0.4406779661016949,1,3,diegoaguevarar,0.0,1.0,5.0,2.0,1.0
229,fevargasmo,0.07051282051282051,1,3,fevargasmo,2.0,3.0,4.0,4.0,1.0
230,jmhurtadoc,0.4105263157894737,1,3,jmhurtadoc,6.0,6.0,6.0,2.0,0.0
231,anfmorenoso,0.05426356589147287,1,3,anfmorenoso,0.0,2.0,5.0,2.0,1.0
232,nabautistal,0.016260162601626018,1,3,nabautistal,0.0,0.0,3.0,1.0,1.0
233,crigar,0.016666666666666666,1,3,crigar,1.0,0.0,2.0,4.0,0.0
234,jiapulidoar,0.03361344537815126,1,3,jiapulidoar,4.0,4.0,5.0,2.0,2.0
235,jsviveroj,0.08333333333333333,1,3,jsviveroj,1.0,3.0,4.0,2.0,3.0
236,daandradec,0.06048387096774194,1,3,daandradec,2.0,2.0,6.0,2.0,0.0
237,jcrubioa,0.19638242894056848,1,3,jcrubioa,0.0,0.0,5.0,2.0,0.0
238,joahernandezca,0.4785276073619632,1,3,joahernandezca,1.0,1.0,0.0,0.0,1.0
239,JairVillalba,0.07857142857142857,1,3,JairVillalba,1.0,1.0,3.0,2.0,5.0
240,gasierram,0.2517482517482518,1,4,gasierram,3.0,4.0,5.0,4.0,2.0
241,adamantwharf,0.01680672268907563,1,4,,,,,,0.0
242,bdcajicam,0.17557251908396945,1,4,bdcajicam,0.0,2.0,5.0,2.0,0.0
243,dfhincapiem,0.016666666666666666,1,4,dfhincapiem,4.0,1.0,5.0,1.0,0.0
244,helmeraac,0.034013605442176874,1,4,helmeraac,5.0,4.0,6.0,4.0,2.0
245,dasalgadob,0.06722689075630252,1,4,dasalgadob,1.0,2.0,4.0,3.0,0.0
246,falperezgo,0.007122507122507123,1,4,falperezgo,4.0,4.0,5.0,3.0,1.0
247,djguzmanc,0.09580838323353294,1,4,djguzmanc,0.0,5.0,6.0,3.0,6.0
248,gsuarezc04,0.032467532467532464,1,4,gsuarezc04,1.0,1.0,3.0,2.0,0.0
249,oeroaq,0.010328638497652582,1,4,oeroaq,4.0,4.0,5.0,3.0,10.0
250,gcantem,0.07835820895522388,1,4,gcantem,0.0,2.0,5.0,2.0,7.0
251,Semoralesga,0.046511627906976744,1,4,Semoralesga,4.0,3.0,4.0,2.0,1.0
252,jonatan360,0.06986899563318777,1,4,jonatan360,4.0,4.0,6.0,4.0,11.0
253,jesusfchavarro,0.003910950661853189,1,4,jesusfchavarro,4.0,3.0,6.0,3.0,8.0
254,jesusfchavarro,0.003910950661853189,1,4,jesusfchavarro,5.0,3.0,6.0,3.0,8.0
255,stevenbustos,0.045112781954887216,1,4,stevenbustos,0.0,1.0,0.0,1.0,1.0
256,jufcontrerasco,0.15760869565217392,1,4,jufcontrerasco,0.0,0.0,5.0,2.0,4.0
257,dsbarrerag,0.04790419161676647,1,4,dsbarrerag,0.0,4.0,5.0,2.0,1.0
258,wolfstain,0.059880239520958084,1,4,wolfstain,3.0,3.0,6.0,0.0,1.0
259,miaborjaac,0.04888888888888889,1,4,miaborjaac,0.0,0.0,4.0,1.0,5.0
260,ivdgonzalezco,0.025936599423631124,1,4,ivdgonzalezco,1.0,4.0,4.0,2.0,1.0
261,Christian7sr,0.01639344262295082,1,4,Christian7sr,3.0,3.0,3.0,2.0,0.0
262,jsnarvaezb,0.1411042944785276,1,4,jsnarvaezb,0.0,1.0,3.0,2.0,7.0
263,gfalbarracinr,0.022556390977443608,1,4,gfalbarracinr,1.0,1.0,5.0,2.0,3.0
264,aldiazve,0.00411968777103209,1,4,aldiazve,0.0,3.0,6.0,3.0,6.0
265,diegoaguevarar,0.4406779661016949,1,4,diegoaguevarar,0.0,1.0,5.0,2.0,0.0
266,fevargasmo,0.08074534161490683,1,4,fevargasmo,2.0,3.0,4.0,4.0,4.0
267,jmhurtadoc,0.4105263157894737,1,4,jmhurtadoc,6.0,6.0,6.0,2.0,0.0
268,anfmorenoso,0.07692307692307693,1,4,anfmorenoso,0.0,2.0,5.0,2.0,2.0
269,nabautistal,0.016129032258064516,1,4,nabautistal,0.0,0.0,3.0,1.0,1.0
270,crigar,0.016666666666666666,1,4,crigar,1.0,0.0,2.0,4.0,0.0
271,jiapulidoar,0.03361344537815126,1,4,jiapulidoar,4.0,4.0,5.0,2.0,0.0
272,jsviveroj,0.1125,1,4,jsviveroj,1.0,3.0,4.0,2.0,5.0
273,daandradec,0.05483028720626632,1,4,daandradec,2.0,2.0,6.0,2.0,28.0
274,jcrubioa,0.19638242894056848,1,4,jcrubioa,0.0,0.0,5.0,2.0,0.0
275,joahernandezca,0.4727272727272727,1,4,joahernandezca,1.0,1.0,0.0,0.0,0.0
276,JairVillalba,0.07692307692307693,1,4,JairVillalba,1.0,1.0,3.0,2.0,4.0
277,gasierram,0.2517482517482518,1,5,gasierram,3.0,4.0,5.0,4.0,2.0
278,adamantwharf,0.01680672268907563,1,5,,,,,,0.0
279,bdcajicam,0.17557251908396945,1,5,bdcajicam,0.0,2.0,5.0,2.0,0.0
280,dfhincapiem,0.016666666666666666,1,5,dfhincapiem,4.0,1.0,5.0,1.0,0.0
281,helmeraac,0.034013605442176874,1,5,helmeraac,5.0,4.0,6.0,4.0,1.0
282,dasalgadob,0.06722689075630252,1,5,dasalgadob,1.0,2.0,4.0,3.0,0.0
283,falperezgo,0.007102272727272727,1,5,falperezgo,4.0,4.0,5.0,3.0,1.0
284,djguzmanc,0.09580838323353294,1,5,djguzmanc,0.0,5.0,6.0,3.0,0.0
285,gsuarezc04,0.032467532467532464,1,5,gsuarezc04,1.0,1.0,3.0,2.0,0.0
