,user1,user2,user1_phase,user2_phase,similarity,stage,group,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,count
138,capinillab,sacastroc,4,5,0.8613861386138614,4,0,1.0,2.0,4.0,2.0,1.0
139,sacastroc,fffeelipe,4,5,0.867816091954023,4,0,1.0,0.0,5.0,3.0,1.0
140,sacastroc,gabi04,4,5,0.8732394366197183,4,0,0.0,0.0,5.0,2.0,1.0
141,Judgarciani,Moimolcp,4,5,0.8768472906403941,4,0,1.0,1.0,5.0,1.0,2.0
142,pipemax85,janoguerab,4,5,0.8771929824561404,4,0,3.0,3.0,4.0,2.0,0.0
143,bsgarciac,Judgarciani,4,5,0.8778877887788779,4,0,3.0,3.0,4.0,2.0,7.0
144,janoguerab,leavendanoro,4,5,0.8918918918918919,4,0,0.0,1.0,4.0,1.0,1.0
145,fffeelipe,jmcuestasb,4,5,0.9050632911392404,4,0,1.0,3.0,4.0,2.0,1.0
146,katherinsb,CamiloRueda,4,5,0.9375,4,0,3.0,3.0,6.0,1.0,0.0
147,DglyP,katherinsb,4,5,0.9628282828282828,4,0,1.0,2.0,4.0,2.0,1.0
148,stevenbustos,Zeugmax,1,2,0.0,1,1,1.0,3.0,5.0,2.0,0.0
149,ItsNavi,andfsanchezlem,1,2,0.0,1,1,0.0,1.0,3.0,1.0,1.0
150,ItsNavi,maikellPardo,1,2,0.0,1,1,4.0,4.0,4.0,2.0,0.0
151,nabautistal,bdcajicam,1,2,0.0,1,1,0.0,2.0,5.0,2.0,0.0
152,gsuarezc04,ItsNavi,1,2,0.0,1,1,1.0,2.0,5.0,2.0,0.0
153,joahernandezca,nabautistal,1,2,0.0,1,1,0.0,0.0,3.0,1.0,1.0
154,diegoaguevarar,joahernandezca,1,2,0.10948905109489049,1,1,1.0,1.0,0.0,0.0,1.0
155,gcantem,diegoaguevarar,1,2,0.18840579710144922,1,1,0.0,1.0,5.0,2.0,1.0
156,diegoaguevarar,gcantem,1,2,0.19565217391304346,1,1,0.0,2.0,5.0,2.0,0.0
157,diegoaguevarar,jmhurtadoc,1,2,0.23456790123456794,1,1,6.0,6.0,6.0,2.0,0.0
158,nabautistal,crigar,1,2,0.25,1,1,1.0,0.0,2.0,4.0,0.0
159,nabautistal,dfhincapiem,1,2,0.25,1,1,4.0,1.0,5.0,1.0,1.0
160,jsnarvaezb,fevargasmo,1,2,0.5454545454545454,1,1,2.0,3.0,4.0,4.0,4.0
161,wolfstain,anfmorenoso,1,2,0.5483870967741935,1,1,0.0,2.0,5.0,2.0,2.0
162,gasierram,dasalgadob,1,2,0.5555555555555556,1,1,1.0,2.0,4.0,3.0,0.0
163,dasalgadob,gasierram,1,2,0.5555555555555556,1,1,3.0,4.0,5.0,4.0,1.0
164,jsnarvaezb,JairVillalba,1,2,0.5625,1,1,1.0,1.0,3.0,2.0,7.0
165,djguzmanc,jsnarvaezb,1,2,0.6190476190476191,1,1,0.0,1.0,3.0,2.0,8.0
166,Semoralesga,stevenbustos,1,2,0.625,1,1,0.0,1.0,0.0,1.0,1.0
167,wolfstain,jsviveroj,1,2,0.6326530612244898,1,1,1.0,3.0,4.0,2.0,3.0
168,diegoaguevarar,jcrubioa,1,2,0.6638888888888889,1,1,0.0,0.0,5.0,2.0,1.0
169,jsnarvaezb,wolfstain,1,2,0.6808510638297872,1,1,3.0,3.0,6.0,0.0,3.0
170,falperezgo,helmeraac,1,2,0.7142857142857143,1,1,5.0,4.0,6.0,4.0,2.0
171,jsnarvaezb,djguzmanc,1,2,0.7169811320754718,1,1,0.0,5.0,6.0,3.0,3.0
172,wolfstain,gsuarezc04,1,2,0.7636363636363637,1,1,1.0,1.0,3.0,2.0,1.0
173,nabautistal,jufcontrerasco,1,2,0.7692307692307692,1,1,0.0,0.0,5.0,2.0,1.0
174,wolfstain,jonatan360,1,2,0.8247422680412371,1,1,4.0,4.0,6.0,4.0,0.0
175,jonatan360,daandradec,1,2,0.8431372549019608,1,1,2.0,2.0,6.0,2.0,0.0
176,falperezgo,dsbarrerag,1,2,0.8541666666666666,1,1,0.0,4.0,5.0,2.0,1.0
177,dasalgadob,gfalbarracinr,1,2,0.875,1,1,1.0,1.0,5.0,2.0,2.0
178,diegoaguevarar,oeroaq,1,2,0.87890625,1,1,4.0,4.0,5.0,3.0,5.0
179,gasierram,miaborjaac,1,2,0.9090909090909091,1,1,0.0,0.0,4.0,1.0,2.0
180,miaborjaac,ivdgonzalezco,1,2,0.9273356401384083,1,1,1.0,4.0,4.0,2.0,1.0
181,jmhurtadoc,jiapulidoar,1,2,0.953551912568306,1,1,4.0,4.0,5.0,2.0,4.0
182,jcrubioa,aldiazve,1,2,0.9642238892094633,1,1,0.0,3.0,6.0,3.0,4.0
183,jcrubioa,falperezgo,1,2,0.9659863945578231,1,1,4.0,4.0,5.0,3.0,2.0
184,jcrubioa,Semoralesga,1,2,0.9779266850610958,1,1,4.0,3.0,4.0,2.0,1.0
185,jcrubioa,jesusfchavarro,1,2,0.9784126984126984,1,1,4.0,3.0,6.0,3.0,7.0
186,jcrubioa,jesusfchavarro,1,2,0.9784126984126984,1,1,5.0,3.0,6.0,3.0,7.0
187,dfhincapiem,Christian7sr,1,2,1.0,1,1,3.0,3.0,3.0,2.0,2.0
188,ItsNavi,maikellPardo,2,3,0.0,2,1,4.0,4.0,4.0,2.0,0.0
189,andfsanchezlem,Zeugmax,2,3,0.0,2,1,1.0,3.0,5.0,2.0,0.0
