,user1,user2,user1_phase,user2_phase,similarity,stage,group,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,count,improve-ur,improve-vis,improve-total,improve-novel,improve-tech
81,katherinsb,MogGy94,3,4,0.0,3,0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,katherinsb,yocuervoc,3,4,0.0,3,0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83,yocuervoc,fffeelipe,3,4,0.0,3,0,1.0,0.0,5.0,3.0,3.0,-40.0,-8.329999999999998,20.419999999999987,43.75,25.0
84,capinillab,juandavidro,3,4,0.4782608695652174,3,0,1.0,2.0,2.0,2.0,1.0,-60.0,-4.159999999999997,-64.16000000000001,0.0,0.0
85,hsmartineza,JoseMolano,3,4,0.5147058823529411,3,0,1.0,5.0,4.0,4.0,1.0,-60.0,16.659999999999997,-72.50000000000003,-29.17,0.0
86,hsmartineza,jjrodriguezn,3,4,0.5454545454545454,3,0,2.0,2.0,3.0,1.0,0.0,20.0,8.340000000000003,28.33999999999999,0.0,0.0
87,JoseMolano,capinillab,3,4,0.576271186440678,3,0,0.0,0.0,0.0,0.0,1.0,0.0,12.5,25.0,12.5,0.0
88,JoseMolano,UNhcrodriguezl,3,4,0.5918367346938775,3,0,3.0,3.0,5.0,3.0,1.0,0.0,8.340000000000003,25.0,16.67,0.0
89,JoseMolano,camilo13152,3,4,0.5979381443298969,3,0,3.0,5.0,5.0,2.0,3.0,0.0,12.5,25.0,0.0,12.5
90,capinillab,pipemax85,3,4,0.6285714285714286,3,0,1.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
91,jjrodriguezn,hsmartineza,3,4,0.6363636363636364,3,0,0.0,1.0,3.0,2.0,2.0,-40.0,-8.329999999999998,-54.58000000000001,-18.75,12.5
92,Judgarciani,camilo654,3,4,0.679245283018868,3,0,0.0,1.0,4.0,2.0,1.0,40.0,4.159999999999997,81.66000000000003,12.5,25.0
93,hsmartineza,jdsuarezj,3,4,0.7032967032967032,3,0,1.0,3.0,3.0,2.0,0.0,0.0,8.340000000000003,-16.659999999999968,-25.0,0.0
94,pcberriop,Judgarciani,3,4,0.7066666666666667,3,0,3.0,3.0,4.0,2.0,4.0,0.0,8.329999999999998,20.830000000000013,0.0,12.5
95,Judgarciani,pcberriop,3,4,0.7526881720430108,3,0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
96,hsmartineza,lfvalderrama,3,4,0.7741935483870968,3,0,0.0,3.0,5.0,2.0,1.0,-20.0,-4.170000000000002,-42.91999999999999,-18.75,0.0
97,DglyP,cdcordobaa,3,4,0.8085106382978724,3,0,2.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
98,CristianLozano,NicolasZon,3,4,0.8125,3,0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
99,pcberriop,bsgarciac,3,4,0.8490566037735849,3,0,0.0,3.0,4.0,2.0,5.0,20.0,20.83,40.829999999999984,0.0,0.0
100,DglyP,odprietoh,3,4,0.8611111111111112,3,0,4.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
101,capinillab,katherinsb,3,4,0.8611111111111112,3,0,1.0,2.0,4.0,2.0,0.0,20.0,45.83,128.33,25.0,37.5
102,DglyP,sacastroc,3,4,0.8709677419354839,3,0,1.0,2.0,4.0,2.0,3.0,0.0,16.67,4.1699999999999875,0.0,-12.5
103,NicolasZon,gabi04,3,4,0.8709677419354839,3,0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
