,Q2_Q2_1,Q2_Q2_2,Q2_Q2_3,Q2_Q2_4,Q2_Q2_5,Q2_Q2_6,Q2_Q2_7,Q2_Q2_8,Q2_Q2_9,Q2_Q2_10,Q2_Q2_11,Q2_Q2_12,Q2_Q2_13,Q3_Q3_1,Q3_Q3_2,Q3_Q3_3,Q3_Q3_4,Q3_Q3_5,Q4_Q4_1,Q4_Q4_2,Q4_Q4_3,Q4_Q4_4,Q4_Q4_5,Q5_Q5_1,Q5_Q5_2,Q5_Q5_3,Q5_Q5_4,Q5_Q5_5,Q7_Q7_1,Q7_Q7_2,Q7_Q7_3,Q7_Q7_4,Q8_Q8_1,Q8_Q8_2,Q10,Q11,Q12,Q13,Q14,Student,Q24,Q17,Q18,Q9
66,4,3,4,3,4,2,6,5,3,3,0,6,5,5,6,6,6,6,3,5,1,5,3,2,1,5,2,6,0,0,1,1,4,4,2,0,0.0,0,4,jcneivaa,1,0,3,0
67,1,3,3,2,2,3,2,4,2,3,2,3,6,5,5,2,3,3,1,2,2,3,2,0,1,3,0,4,0,5,1,4,6,5,3,0,0.0,0,3,djguzmanc,1,0,8,0
68,3,5,4,3,6,4,6,6,4,3,4,3,5,2,4,3,5,3,4,4,4,2,3,1,2,3,2,4,1,3,1,2,2,4,2,0,0.0,0,3,jhriverasa,4,0,3,1
69,1,2,1,0,4,1,6,5,0,3,0,1,6,2,6,4,5,3,3,5,3,4,3,2,0,3,0,2,0,0,1,0,2,2,2,0,0.0,0,1,dagofonseca,2,0,3,0
70,4,5,4,4,4,5,6,6,5,5,2,4,6,4,4,5,4,5,5,4,5,3,5,3,4,3,4,6,2,4,2,2,5,5,2,6,2.0,0,5,cdcordobaa,3,0,3,0
71,4,5,6,3,5,5,6,6,6,6,3,5,3,6,5,5,5,6,3,5,4,0,6,5,1,6,3,6,0,3,0,3,6,6,3,8,3.0,4,2,aldiazve,2,0,3,0
72,2,3,4,3,3,4,5,5,5,4,3,4,3,5,4,3,4,4,4,5,4,5,3,1,0,4,1,5,0,1,0,3,3,1,1,0,0.0,0,0,Phoenixest,4,0,3,0
73,4,5,6,4,6,4,5,6,6,4,4,4,5,4,4,5,5,5,5,3,5,5,3,4,4,3,5,6,4,3,4,4,6,6,2,0,0.0,0,2,sarizag,4,0,3,0
74,6,4,5,1,2,5,6,4,5,3,1,4,6,1,5,2,6,4,1,1,1,6,1,4,2,0,5,6,1,0,0,3,5,5,3,1,0.0,8,1,fffeelipe,4,0,3,1
75,5,5,6,3,6,5,5,5,5,5,2,5,5,5,2,6,2,5,6,6,6,6,6,0,3,5,4,5,1,1,1,2,3,5,2,0,0.0,0,1,gsuarezc04,4,1,4,0
76,6,6,6,4,6,6,6,6,6,6,4,5,6,3,3,3,3,3,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,2,2,0.0,0,1,xdanielsb,2,0,3,1
77,0,3,2,2,5,4,6,5,5,4,3,4,5,5,4,4,3,4,5,2,4,5,4,5,4,4,6,6,5,4,5,3,6,4,1,0,0.0,0,3,spenas,2,0,3,0
78,0,2,6,0,4,5,4,5,4,5,1,5,4,4,6,4,6,4,6,5,6,5,6,5,2,2,4,5,0,1,0,4,5,3,2,2,2.0,2,3,yocuervoc,2,0,3,0
79,1,1,3,2,5,5,6,5,4,5,3,5,5,5,4,6,4,6,3,5,4,4,5,2,2,4,2,4,1,1,2,3,0,1,0,0,0.0,3,6,joahernandezca,3,0,3,0
80,6,6,6,5,4,4,6,6,3,6,3,4,6,5,6,6,6,4,5,4,6,5,5,5,3,6,3,6,1,3,0,4,5,5,2,0,0.0,0,7,crarojasca,1,0,3,1
81,2,3,3,3,3,3,4,4,3,3,3,4,4,4,3,4,3,4,3,3,3,3,3,2,3,3,2,4,1,3,2,3,3,2,2,0,0.0,4,5,juclopezso,3,0,3,0
82,1,3,5,2,2,3,5,4,1,2,2,1,4,3,3,6,5,6,2,3,2,3,4,4,1,3,3,4,2,1,1,1,3,3,2,0,0.0,6,3,mnguzmanc,4,1,4,0
83,4,6,5,4,5,5,6,6,5,5,5,4,4,4,5,5,6,4,5,5,5,4,6,5,4,5,4,6,0,1,0,3,5,6,2,0,0.0,0,3,diegoaguevarar,1,0,6,1
84,3,5,4,1,4,0,6,5,5,3,1,3,6,6,5,5,5,5,4,5,5,4,1,4,4,5,1,5,1,5,0,4,6,6,1,0,0.0,6,3,kmendezp96,1,0,3,1
85,3,4,4,3,4,4,5,5,4,4,3,4,4,5,5,5,5,5,5,3,5,4,5,5,3,4,3,5,1,1,1,1,5,5,2,0,0.0,0,5,jumcorredorro,1,0,3,0
86,3,3,3,0,2,1,3,2,2,4,2,3,5,4,4,5,4,2,3,1,4,4,4,5,1,5,2,5,0,3,0,5,5,6,2,0,0.0,15,3,lfvalderrama,1,0,3,1
87,3,4,5,3,5,3,6,4,5,5,3,5,4,4,5,5,5,5,3,4,3,4,4,3,1,2,1,4,1,1,0,1,3,3,2,0,0.0,5,4,JairVillalba,2,0,3,0
88,3,5,6,5,5,5,6,6,4,6,5,4,6,3,3,3,3,3,5,5,5,5,6,0,0,4,0,5,0,3,0,0,2,2,2,0,0.0,0,0,jjmuesesq,4,0,7,0
89,4,6,6,3,6,4,6,6,4,5,4,5,2,3,5,3,5,6,6,4,5,4,6,3,3,4,2,4,1,3,3,5,5,6,2,2,2.0,7,3,adriel62,4,1,3,0
90,4,3,5,2,5,3,5,4,6,4,2,6,5,5,5,5,4,6,6,3,5,6,4,4,2,4,2,5,1,1,1,1,5,3,2,0,0.0,0,6,jdsolanos,4,0,8,0
91,6,6,0,6,6,6,3,6,6,6,4,6,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,0,2,0,3,5,5,2,6,2.0,6,0,gcantem,2,0,3,0
92,0,3,3,0,0,4,4,4,0,4,0,3,6,6,6,6,6,6,6,5,6,5,5,3,1,5,1,4,1,1,1,1,3,2,1,2,2.0,15,3,JulianaNino,3,1,3,0
