,Q2_Q2_1,Q2_Q2_2,Q2_Q2_3,Q2_Q2_4,Q2_Q2_5,Q2_Q2_6,Q2_Q2_7,Q2_Q2_8,Q2_Q2_9,Q2_Q2_10,Q2_Q2_11,Q2_Q2_12,Q2_Q2_13,Q3_Q3_1,Q3_Q3_2,Q3_Q3_3,Q3_Q3_4,Q3_Q3_5,Q4_Q4_1,Q4_Q4_2,Q4_Q4_3,Q4_Q4_4,Q4_Q4_5,Q5_Q5_1,Q5_Q5_2,Q5_Q5_3,Q5_Q5_4,Q5_Q5_5,Q7_Q7_1,Q7_Q7_2,Q7_Q7_3,Q7_Q7_4,Q8_Q8_1,Q8_Q8_2,Q10,Student
92,1,3,5,5,5,4,4,5,4,4,3,5,4,4,5,5,5,3,4,5,5,3,4,3,1,4,4,5,1,1,1,3,4,5,4,JulianaNino
93,5,5,5,5,4,5,6,5,5,6,4,4,4,4,5,5,5,4,5,4,5,3,4,4,1,4,1,5,1,2,1,2,5,5,2,davidh17
94,4,5,4,3,4,5,5,4,4,5,3,4,4,5,5,4,4,5,5,4,5,4,5,5,4,5,4,5,5,4,5,5,5,4,2,camilo654
95,3,5,4,3,6,4,6,6,4,3,4,3,5,2,4,3,5,3,4,4,4,2,3,1,2,3,2,4,1,3,1,2,2,4,2,Semoralesga
96,4,4,2,3,3,5,5,6,5,5,3,2,5,3,4,3,3,4,5,4,4,4,5,4,5,5,4,5,3,4,3,4,4,3,2,luegilca
97,0,4,3,3,4,4,6,5,5,5,5,4,4,5,5,6,5,5,2,2,2,2,5,4,5,6,1,5,1,1,1,1,5,4,2,feartheGru
98,4,6,6,3,4,6,6,6,6,6,6,6,3,5,5,3,5,5,5,3,5,4,5,2,4,5,1,6,0,3,0,3,5,2,2,UNhcrodriguezl
99,4,5,4,3,4,5,6,6,5,5,3,6,5,6,5,4,5,6,5,6,4,5,4,1,0,6,0,5,0,1,0,0,6,4,0,ItsNavi
100,3,5,6,5,5,5,6,6,4,6,5,4,6,3,3,3,3,3,5,5,5,5,6,0,0,4,0,5,0,3,0,0,2,2,2,Davsatu313
101,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,2,jscastelblancoh
102,4,4,3,0,0,0,6,6,5,6,0,0,6,3,5,5,6,5,0,0,0,0,0,0,0,4,0,5,0,0,0,0,5,4,2,katherinsb
103,2,1,2,3,3,1,2,1,1,2,2,3,1,2,5,4,4,3,4,3,4,4,5,4,2,3,3,2,2,4,2,3,3,3,2,jufcontrerasco
104,3,6,6,2,4,4,5,3,5,3,3,4,5,4,5,5,4,4,4,2,5,1,4,2,2,4,0,5,0,1,0,2,4,4,2,tres-iqus
105,3,4,5,1,4,3,6,5,3,4,2,4,6,2,5,4,5,6,1,4,2,1,5,3,1,5,1,5,1,4,1,3,4,3,1,lgmoralesa
106,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,1,camilo13152
107,0,4,5,0,4,5,5,5,5,5,0,5,5,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,1,5,1,1,3,3,2,nabautistal
108,6,5,4,4,4,4,5,6,3,5,1,2,3,1,3,3,4,4,5,4,5,3,5,4,4,2,4,4,3,3,4,3,5,6,1,jhonsd1996
109,0,3,3,0,0,4,4,4,0,4,0,3,6,6,6,6,6,6,6,5,6,5,5,3,1,5,1,4,1,1,1,1,3,2,1,lemartinp
110,3,6,6,4,5,4,6,5,6,5,3,4,1,6,5,6,4,6,6,6,4,5,5,1,0,6,1,6,0,1,0,3,6,5,2,NicolasZon
111,5,3,5,1,1,4,6,6,6,6,4,6,0,4,5,4,6,5,5,0,6,4,6,2,0,5,4,6,1,4,0,2,6,5,3,jsviveroj
112,3,4,4,3,3,4,5,5,4,5,3,3,6,4,5,5,5,5,3,3,3,3,3,3,2,5,2,5,2,3,3,3,4,3,2,diegocruz10
113,3,5,4,1,4,0,6,5,5,3,1,3,6,6,5,5,5,5,4,5,5,4,1,4,4,5,1,5,1,5,0,4,6,6,1,NicolasPrr
114,4,2,2,3,5,3,6,5,4,5,2,4,6,4,5,5,5,4,1,4,4,4,1,5,1,5,1,5,0,2,0,4,5,4,2,odprietoh
115,4,5,5,6,6,5,6,4,5,5,3,5,3,5,6,5,6,4,4,3,6,5,5,5,1,5,2,6,3,4,2,3,4,2,2,jiapulidoar
116,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,3,5,5,4,3,4,3,3,4,4,4,4,4,4,3,2,3,3,3,1,Gantiva
117,2,4,6,2,1,3,4,3,3,5,1,3,2,5,5,5,5,5,6,5,4,3,3,3,4,5,1,5,1,1,1,1,6,3,3,dduartec
118,6,6,6,4,6,6,6,6,6,6,4,5,6,3,3,3,3,3,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,2,joaortizro
119,4,4,5,1,4,4,6,5,2,5,3,5,3,5,5,6,6,5,4,5,3,4,5,6,1,5,3,6,3,3,1,5,5,4,2,oeroaq
120,4,6,4,5,4,4,5,5,4,5,0,5,6,5,6,5,5,5,5,5,4,5,5,5,5,5,5,5,4,4,3,4,5,5,3,begarzonf
121,3,3,4,3,4,3,4,3,3,4,3,3,4,4,4,4,3,3,4,4,3,4,4,4,1,4,1,3,1,1,1,1,4,3,0,afforeroc
122,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,1,1,4,1,4,1,1,1,1,4,4,0,MogGy94
123,0,2,3,1,1,4,1,1,4,0,1,2,6,4,3,5,3,4,4,3,5,3,5,3,0,6,0,4,0,0,0,0,4,4,1,lsfinite
124,4,5,6,5,5,5,1,5,4,5,5,5,4,5,5,4,5,5,4,5,5,4,5,3,5,5,5,4,4,4,4,4,5,4,3,smarquezo
125,4,3,2,0,4,3,6,3,4,5,0,4,0,5,6,6,6,4,3,4,4,5,5,4,1,4,0,5,0,2,0,2,3,3,1,fmbernalb
126,3,5,5,3,4,3,5,5,3,3,3,3,6,4,5,5,5,4,4,4,4,4,4,5,5,4,5,6,4,3,3,4,5,6,2,gfalbarracinr
127,3,6,4,5,5,3,5,5,5,5,3,4,4,6,6,6,6,6,6,6,6,6,6,5,4,6,6,6,2,6,4,4,6,5,2,HashNick
128,2,3,3,2,3,4,6,5,5,3,4,4,5,2,4,2,4,4,3,3,4,4,3,1,1,4,2,4,1,5,1,3,4,4,1,capinzor
129,3,3,6,3,4,5,6,4,5,5,4,4,5,4,6,6,6,5,4,4,5,4,5,3,2,4,3,5,1,2,1,4,4,3,1,jdsuarezj
130,5,2,4,3,1,3,5,4,3,3,4,4,6,4,2,5,3,4,1,3,4,3,5,5,2,4,3,4,0,1,2,3,2,0,1,falperezgo
131,3,3,3,3,4,3,6,5,4,4,3,4,5,3,4,3,5,5,4,3,5,5,5,3,1,4,1,4,0,1,0,2,4,4,2,Dandarprox
132,3,5,5,4,5,4,6,5,6,5,5,3,3,5,4,1,5,2,5,4,5,5,5,4,4,5,4,6,3,3,3,3,5,5,3,juligarji
133,5,5,3,4,3,4,5,5,4,4,3,4,6,5,5,5,5,5,5,5,5,5,5,0,0,4,0,5,0,1,0,1,5,6,2,anmmunozme
134,3,4,3,3,3,2,6,3,2,3,3,4,4,3,5,5,4,4,2,2,3,3,3,2,0,3,0,4,0,1,0,0,4,2,1,jmhurtadoc
135,4,5,3,4,4,5,4,4,5,5,5,4,3,4,4,4,4,2,4,3,4,3,3,4,3,3,5,4,4,4,5,3,5,4,2,oserasoa
136,0,6,6,3,6,6,5,5,5,5,1,5,4,3,5,5,5,4,2,5,2,5,3,3,0,6,0,6,0,0,0,0,3,5,2,Danielsv9207
