,Student,phase,novelty,group,abs_perform_diff_best,user2,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10
139,lemartinp,4,0.7872340425531920,3,57.5,lemartinp,0.0,0.0,4.0,1.0
140,afceballosr,4,0.7954545454545450,3,93.33000000000000,afceballosr,1.0,3.0,5.0,2.0
141,spenas,4,0.8,3,242.5,spenas,5.0,4.0,6.0,1.0
142,lgmoralesa,4,0.8072289156626510,3,20.830000000000000,lgmoralesa,2.0,2.0,4.0,3.0
143,NicolasPrr,4,0.8164556962025320,3,237.5,NicolasPrr,3.0,4.0,3.0,2.0
144,davidh17,4,0.8175182481751830,3,283.33,davidh17,3.0,3.0,5.0,3.0
145,kgbayala528,4,0.8235294117647060,3,115.00000000000000,kgbayala528,1.0,5.0,6.0,2.0
146,ronaldsg20,4,0.8275862068965520,3,192.50000000000000,ronaldsg20,0.0,3.0,5.0,2.0
147,juclopezso,4,0.8333333333333330,3,206.66,juclopezso,1.0,3.0,3.0,2.0
148,lacardenasv,4,0.8365384615384620,3,98.33000000000000,lacardenasv,1.0,2.0,5.0,4.0
149,ofnanezn,4,0.8392857142857140,3,230.00000000000000,ofnanezn,0.0,1.0,6.0,2.0
150,jumcorredorro,4,0.8516949152542370,3,53.330000000000000,jumcorredorro,1.0,1.0,5.0,2.0
151,oacastillol,4,0.8521739130434780,3,237.5,oacastillol,2.0,1.0,5.0,1.0
152,DavidQP,4,0.8522727272727270,3,86.66000000000000,DavidQP,2.0,3.0,4.0,3.0
153,ncampuzano,4,0.8571428571428570,3,213.33000000000000,ncampuzano,1.0,3.0,4.0,2.0
154,adriel62,4,0.8642533936651580,3,147.50000000000000,adriel62,1.0,3.0,5.0,2.0
155,cccristanchoc,4,0.8717948717948720,3,242.5,cccristanchoc,1.0,1.0,4.0,1.0
156,srmedinac,4,0.8840579710144930,3,242.5,srmedinac,1.0,2.0,4.0,1.0
157,wilson911013,4,0.8888888888888890,3,275.83,wilson911013,0.0,1.0,2.0,1.0
158,jscastelblancoh,4,0.9068825910931170,3,41.66000000000000,jscastelblancoh,0.0,0.0,3.0,2.0
159,jorge52an,4,0.9319371727748690,3,115.00000000000000,jorge52an,4.0,4.0,5.0,2.0
160,capinzor,4,0.9647251845775230,3,163.33000000000000,capinzor,0.0,0.0,2.0,2.0
161,dduartec,4,0.9695121951219510,3,270.83,dduartec,1.0,5.0,4.0,1.0
162,juligarji,4,0.9704100652376520,3,0.0,juligarji,4.0,4.0,5.0,3.0
163,mballeng91,4,0.9852941176470590,3,245.83000000000000,mballeng91,2.0,6.0,6.0,2.0
164,crarojasca,1,0.0,2,215.0,crarojasca,1.0,3.0,5.0,2.0
165,ccvacad,1,0.0,2,260.0,ccvacad,1.0,0.0,4.0,2.0
166,jjmuesesq,1,0.0,2,177.5,jjmuesesq,0.0,3.0,2.0,2.0
167,CSebasGomez,1,0.0,2,260.0,CSebasGomez,3.0,3.0,5.0,2.0
168,mdbelloc,1,0.303030303030303,2,168.33000000000000,mdbelloc,1.0,3.0,2.0,2.0
169,jhonsd1996,1,0.33333333333333300,2,160.0,jhonsd1996,3.0,4.0,4.0,2.0
170,diegocruz10,1,0.34375,2,169.17000000000000,diegocruz10,3.0,3.0,3.0,1.0
171,luealfonsoru,1,0.375,2,105.83000000000000,luealfonsoru,3.0,4.0,4.0,2.0
172,Phoenixest,1,0.4,2,185.83000000000000,Phoenixest,0.0,1.0,3.0,1.0
173,sagilm,1,0.4,2,210.0,sagilm,0.0,0.0,3.0,1.0
174,leguzman,1,0.4084507042253520,2,106.67000000000000,leguzman,0.0,2.0,5.0,2.0
175,JulianaNino,1,0.5,2,205.83000000000000,JulianaNino,1.0,1.0,3.0,1.0
176,cesarochoa2006,1,0.5375,2,173.33000000000000,cesarochoa2006,0.0,1.0,6.0,0.0
177,oserasoa,1,0.5538461538461540,2,205.83000000000000,oserasoa,4.0,3.0,3.0,1.0
178,luegilca,1,0.6097560975609760,2,130.83,luegilca,0.0,1.0,6.0,2.0
179,joaortizro,1,0.6296296296296300,2,152.5,joaortizro,0.0,2.0,2.0,1.0
180,kmendezp96,1,0.6486486486486490,2,74.17000000000000,kmendezp96,1.0,5.0,6.0,1.0
181,jucjimenezmo,1,0.6666666666666670,2,247.5,jucjimenezmo,0.0,0.0,3.0,2.0
182,HashNick,1,0.6666666666666670,2,260.0,HashNick,1.0,3.0,5.0,3.0
183,ykchautai,1,0.6956521739130440,2,98.33000000000000,ykchautai,4.0,4.0,4.0,1.0
184,Davsatu313,1,0.7027027027027030,2,52.5,Davsatu313,0.0,3.0,5.0,2.0
185,kancas,1,0.7068965517241380,2,222.5,kancas,0.0,0.0,5.0,2.0
186,Yelis3,1,0.7142857142857140,2,28.330000000000000,Yelis3,1.0,4.0,6.0,3.0
187,jusherrerama,1,0.7142857142857140,2,177.5,,,,,
188,Gantiva,1,0.7272727272727270,2,144.17000000000000,Gantiva,2.0,4.0,3.0,2.0
189,juasmartinezbel,1,0.7398373983739840,2,8.330000000000010,juasmartinezbel,0.0,5.0,5.0,2.0
190,jhriverasa,1,0.7692307692307690,2,117.08000000000000,jhriverasa,1.0,3.0,2.0,2.0
191,davidrh195,1,0.7777777777777780,2,260.0,davidrh195,3.0,3.0,5.0,1.0
192,jscontrerasp,1,0.7894736842105260,2,260.0,jscontrerasp,1.0,1.0,4.0,0.0
193,bdvegat,1,0.7903225806451610,2,260.0,bdvegat,1.0,2.0,4.0,1.0
194,Dandarprox,1,0.8133333333333330,2,154.58000000000000,Dandarprox,0.0,1.0,4.0,2.0
195,ligibrial,1,0.8181818181818180,2,126.67000000000000,ligibrial,1.0,5.0,3.0,2.0
196,fabianr23,1,0.8615384615384620,2,55.0,fabianr23,5.0,4.0,5.0,2.0
197,raulramirezp,1,0.912568306010929,2,260.0,raulramirezp,1.0,2.0,5.0,2.0
198,xdanielsb,1,0.9305555555555560,2,0.0,xdanielsb,3.0,3.0,3.0,2.0
199,begarzonf,1,0.9481641468682510,2,102.5,begarzonf,2.0,3.0,4.0,2.0
200,lsfinite,1,0.9803075768942240,2,197.5,lsfinite,1.0,1.0,6.0,3.0
201,idrojasf,1,0.9809220985691570,2,52.5,idrojasf,1.0,1.0,4.0,4.0
202,jhcardenasa,1,0.9821556031406140,2,260.0,jhcardenasa,4.0,4.0,5.0,3.0
203,JuanitoAli,1,0.9830866807610990,2,160.0,JuanitoAli,1.0,1.0,5.0,2.0
204,debeltranc,1,0.994535519125683,2,97.5,debeltranc,1.0,4.0,4.0,1.0
205,CSebasGomez,2,0.0,2,317.5,CSebasGomez,3.0,3.0,5.0,2.0
206,ccvacad,2,0.0,2,317.5,ccvacad,1.0,0.0,4.0,2.0
207,crarojasca,2,0.0,2,272.5,crarojasca,1.0,3.0,5.0,2.0
208,jhcardenasa,2,0.023468057366362500,2,317.5,jhcardenasa,4.0,4.0,5.0,3.0
209,JuanitoAli,2,0.03562231759656650,2,45.830000000000000,JuanitoAli,1.0,1.0,5.0,2.0
210,mdbelloc,2,0.34375,2,205.0,mdbelloc,1.0,3.0,2.0,2.0
211,diegocruz10,2,0.34375,2,201.67,diegocruz10,3.0,3.0,3.0,1.0
212,jjmuesesq,2,0.4,2,143.33,jjmuesesq,0.0,3.0,2.0,2.0
213,Phoenixest,2,0.4,2,218.33000000000000,Phoenixest,0.0,1.0,3.0,1.0
214,jhonsd1996,2,0.4,2,255.0,jhonsd1996,3.0,4.0,4.0,2.0
215,luealfonsoru,2,0.43023255813953500,2,192.5,luealfonsoru,3.0,4.0,4.0,2.0
216,leguzman,2,0.5841584158415840,2,85.83000000000000,leguzman,0.0,2.0,5.0,2.0
217,oserasoa,2,0.5857142857142860,2,234.17000000000000,oserasoa,4.0,3.0,3.0,1.0
218,ykchautai,2,0.59375,2,210.0,ykchautai,4.0,4.0,4.0,1.0
219,kancas,2,0.625,2,86.67000000000000,kancas,0.0,0.0,5.0,2.0
220,sagilm,2,0.6341463414634150,2,259.17,sagilm,0.0,0.0,3.0,1.0
221,luegilca,2,0.64,2,217.5,luegilca,0.0,1.0,6.0,2.0
222,joaortizro,2,0.64,2,61.670000000000000,joaortizro,0.0,2.0,2.0,1.0
223,cesarochoa2006,2,0.6507936507936510,2,74.17000000000000,cesarochoa2006,0.0,1.0,6.0,0.0
224,jucjimenezmo,2,0.6666666666666670,2,230.83000000000000,jucjimenezmo,0.0,0.0,3.0,2.0
225,kmendezp96,2,0.6708860759493670,2,119.17000000000000,kmendezp96,1.0,5.0,6.0,1.0
226,Davsatu313,2,0.7560975609756100,2,93.33000000000000,Davsatu313,0.0,3.0,5.0,2.0
227,jusherrerama,2,0.7631578947368420,2,168.33,,,,,
228,HashNick,2,0.7640449438202250,2,221.67000000000000,HashNick,1.0,3.0,5.0,3.0
229,ligibrial,2,0.7666666666666670,2,221.67000000000000,ligibrial,1.0,5.0,3.0,2.0
230,jhriverasa,2,0.7741935483870970,2,105.83000000000000,jhriverasa,1.0,3.0,2.0,2.0
231,davidrh195,2,0.7777777777777780,2,210.0,davidrh195,3.0,3.0,5.0,1.0
232,JulianaNino,2,0.7804878048780490,2,238.33000000000000,JulianaNino,1.0,1.0,3.0,1.0
233,juasmartinezbel,2,0.7818181818181820,2,33.330000000000000,juasmartinezbel,0.0,5.0,5.0,2.0
234,bdvegat,2,0.7903225806451610,2,235.0,bdvegat,1.0,2.0,4.0,1.0
235,jscontrerasp,2,0.7962962962962960,2,330.0,jscontrerasp,1.0,1.0,4.0,0.0
236,Gantiva,2,0.8,2,196.67,Gantiva,2.0,4.0,3.0,2.0
237,Dandarprox,2,0.8476190476190480,2,194.17,Dandarprox,0.0,1.0,4.0,2.0
238,Yelis3,2,0.8857142857142860,2,118.33000000000000,Yelis3,1.0,4.0,6.0,3.0
239,fabianr23,2,0.8865979381443300,2,0.0,fabianr23,5.0,4.0,5.0,2.0
240,raulramirezp,2,0.9324324324324330,2,110.83000000000000,raulramirezp,1.0,2.0,5.0,2.0
241,xdanielsb,2,0.9324894514767930,2,242.5,xdanielsb,3.0,3.0,3.0,2.0
242,begarzonf,2,0.9427966101694920,2,222.5,begarzonf,2.0,3.0,4.0,2.0
243,idrojasf,2,0.958217270194986,2,161.67,idrojasf,1.0,1.0,4.0,4.0
244,lsfinite,2,0.9755014326647560,2,230.0,lsfinite,1.0,1.0,6.0,3.0
245,debeltranc,2,0.9900990099009900,2,255.0,debeltranc,1.0,4.0,4.0,1.0
246,crarojasca,3,0.0,2,313.33,crarojasca,1.0,3.0,5.0,2.0
247,CSebasGomez,3,0.0,2,358.33,CSebasGomez,3.0,3.0,5.0,2.0
248,JuanitoAli,3,0.057046979865771800,2,103.33000000000000,JuanitoAli,1.0,1.0,5.0,2.0
249,diegocruz10,3,0.303030303030303,2,246.66000000000000,diegocruz10,3.0,3.0,3.0,1.0
250,mdbelloc,3,0.34375,2,225.00000000000000,mdbelloc,1.0,3.0,2.0,2.0
251,jhonsd1996,3,0.4,2,205.00000000000000,jhonsd1996,3.0,4.0,4.0,2.0
252,Phoenixest,3,0.4,2,263.33,Phoenixest,0.0,1.0,3.0,1.0
253,jucjimenezmo,3,0.4444444444444440,2,258.0,jucjimenezmo,0.0,0.0,3.0,2.0
254,luealfonsoru,3,0.449438202247191,2,212.50000000000000,luealfonsoru,3.0,4.0,4.0,2.0
255,oserasoa,3,0.5857142857142860,2,234.16000000000000,oserasoa,4.0,3.0,3.0,1.0
256,leguzman,3,0.6216216216216220,2,208.33000000000000,leguzman,0.0,2.0,5.0,2.0
257,sagilm,3,0.6326530612244900,2,212.50000000000000,sagilm,0.0,0.0,3.0,1.0
258,ykchautai,3,0.6388888888888890,2,163.33000000000000,ykchautai,4.0,4.0,4.0,1.0
259,jscontrerasp,3,0.6578947368421050,2,358.33,jscontrerasp,1.0,1.0,4.0,0.0
260,kancas,3,0.6666666666666670,2,127.50000000000000,kancas,0.0,0.0,5.0,2.0
261,luegilca,3,0.6708860759493670,2,237.5,luegilca,0.0,1.0,6.0,2.0
262,jhcardenasa,3,0.696969696969697,2,358.33,jhcardenasa,4.0,4.0,5.0,3.0
263,joaortizro,3,0.7272727272727270,2,53.330000000000000,joaortizro,0.0,2.0,2.0,1.0
264,JulianaNino,3,0.7297297297297300,2,234.16000000000000,JulianaNino,1.0,1.0,3.0,1.0
265,kmendezp96,3,0.7425742574257430,2,122.50000000000000,kmendezp96,1.0,5.0,6.0,1.0
266,ligibrial,3,0.7567567567567570,2,237.5,ligibrial,1.0,5.0,3.0,2.0
267,ccvacad,3,0.7731958762886600,2,358.33,ccvacad,1.0,0.0,4.0,2.0
268,jjmuesesq,3,0.7777777777777780,2,279.16000000000000,jjmuesesq,0.0,3.0,2.0,2.0
269,Davsatu313,3,0.7959183673469390,2,37.5,Davsatu313,0.0,3.0,5.0,2.0
270,Yelis3,3,0.8007662835249040,2,90.0,Yelis3,1.0,4.0,6.0,3.0
271,jusherrerama,3,0.8085106382978720,2,238.33000000000000,,,,,
