,bdvegat,jusherrerama,Phoenixest,HashNick,bottom3,top4,top2,mdbelloc,diegocruz10,crarojasca,sagilm,idrojasf,raulramirezp,top1,jhriverasa,jhonsd1996,top3,Davsatu313,top5,jjmuesesq,jucjimenezmo,kancas,Gantiva,Dandarprox,debeltranc,ykchautai,ligibrial,davidrh195,JulianaNino,luegilca,Yelis3,begarzonf,kmendezp96,leguzman,luealfonsoru,oserasoa,lsfinite,xdanielsb,bottom4,bottom2,bottom1
begarzonf,0.05172413793103448,0.12,0.21428571428571427,0.14545454545454545,0.0,0.15,0.045871559633027525,0.22641509433962265,0.16071428571428573,0.0,0.21428571428571427,0.0016501650165016502,0.018518518518518517,0.05263157894736842,0.09090909090909091,0.21428571428571427,0.002175805047867711,0.08333333333333333,0.13432835820895522,0.25,0.16666666666666666,0.2,0.06521739130434782,0.056338028169014086,0.0,0.125,0.10714285714285714,0.11538461538461539,0.08823529411764706,0.21621621621621623,0.1590909090909091,0.0,0.05183585313174946,0.016166281755196306,0.02262443438914027,0.013793103448275862,0.007042253521126761,0.012110726643598616,0.0,0.011904761904761904,0.0071090047393364926
kmendezp96,0.04504504504504504,0.0375,0.043478260869565216,0.21649484536082475,0.0,0.0684931506849315,0.06962025316455696,0.21212121212121213,0.1650485436893204,0.0,0.058823529411764705,0.016897081413210446,0.057692307692307696,0.06481481481481481,0.07058823529411765,0.043478260869565216,0.006831767719897523,0.06818181818181818,0.1592920353982301,0.04477611940298507,0.0410958904109589,0.1978021978021978,0.08333333333333333,0.09243697478991597,0.0,0.09333333333333334,0.075,0.05,0.033707865168539325,0.35135135135135137,0.19101123595505617,0.05183585313174946,0.0,0.10126582278481013,0.05319148936170213,0.1282051282051282,0.0410958904109589,0.022026431718061675,0.0,0.043478260869565216,0.043478260869565216
leguzman,0.09523809523809523,0.09090909090909091,0.13636363636363635,0.09230769230769231,0.0,0.2916666666666667,0.0990990990990991,0.140625,0.07352941176470588,0.0,0.13636363636363635,0.006546644844517185,0.03592814371257485,0.07936507936507936,0.1891891891891892,0.13636363636363635,0.0034737299174989146,0.20512820512820512,0.10526315789473684,0.15,0.11538461538461539,0.12727272727272726,0.16326530612244897,0.09210526315789473,0.0,0.2962962962962963,0.18181818181818182,0.15625,0.07142857142857142,0.20454545454545456,0.11320754716981132,0.016166281755196306,0.10126582278481013,0.0,0.06976744186046512,0.208955223880597,0.029850746268656716,0.03211009174311927,0.0,0.04838709677419355,0.04838709677419355
luealfonsoru,0.0945945945945946,0.09090909090909091,0.05714285714285714,0.024691358024691357,0.0,0.13157894736842105,0.03875968992248062,0.04938271604938271,0.04938271604938271,0.0,0.05714285714285714,0.01620745542949757,0.05714285714285714,0.03896103896103896,0.12,0.05714285714285714,0.0030224525043177895,0.11320754716981132,0.043478260869565216,0.06060606060606061,0.05128205128205128,0.07246376811594203,0.045454545454545456,0.04395604395604396,0.0,0.09302325581395349,0.10869565217391304,0.08888888888888889,0.09615384615384616,0.08333333333333333,0.109375,0.02262443438914027,0.05319148936170213,0.06976744186046512,0.0,0.19318181818181818,0.03333333333333333,0.0375,0.0,0.03488372093023256,0.03488372093023256
oserasoa,0.1111111111111111,0.08823529411764706,0.08333333333333333,0.09090909090909091,0.0,0.3333333333333333,0.09821428571428571,0.1935483870967742,0.21311475409836064,0.0,0.08333333333333333,0.004893964110929853,0.041916167664670656,0.09523809523809523,0.18421052631578946,0.08333333333333333,0.004344048653344918,0.2972972972972973,0.13333333333333333,0.09090909090909091,0.07142857142857142,0.23529411764705882,0.16,0.13513513513513514,0.0,0.2857142857142857,0.14285714285714285,0.05555555555555555,0.09523809523809523,0.2857142857142857,0.2,0.013793103448275862,0.1282051282051282,0.208955223880597,0.19318181818181818,0.0,0.047619047619047616,0.041666666666666664,0.0,0.08108108108108109,0.08108108108108109
lsfinite,0.05454545454545454,0.19047619047619047,0.16666666666666666,0.034482758620689655,0.0,0.1111111111111111,0.01834862385321101,0.03333333333333333,0.03333333333333333,0.0,0.2727272727272727,0.0033222591362126247,0.02531645569620253,0.03636363636363636,0.06451612903225806,0.16666666666666666,0.0008703220191470844,0.09090909090909091,0.028169014084507043,0.2,0.125,0.04081632653061224,0.045454545454545456,0.043478260869565216,0.0,0.09090909090909091,0.07692307692307693,0.08333333333333333,0.0625,0.05,0.043478260869565216,0.007042253521126761,0.0410958904109589,0.029850746268656716,0.03333333333333333,0.047619047619047616,0.0,0.008256141763995167,0.0,0.0006193228736581337,0.0006193228736581337
xdanielsb,0.054187192118226604,0.022598870056497175,0.017964071856287425,0.023696682464454975,0.0,0.04142011834319527,0.03488372093023256,0.02830188679245283,0.02830188679245283,0.0,0.017964071856287425,0.011984021304926764,0.035830618892508145,0.03902439024390244,0.04419889502762431,0.017964071856287425,0.00862422997946612,0.03783783783783784,0.022321428571428572,0.01818181818181818,0.017543859649122806,0.04020100502512563,0.046632124352331605,0.05069124423963134,0.00546448087431694,0.034482758620689655,0.027932960893854747,0.01675977653631285,0.02702702702702703,0.03664921465968586,0.03553299492385787,0.012110726643598616,0.022026431718061675,0.03211009174311927,0.0375,0.041666666666666664,0.008256141763995167,0.0,0.0,0.016042780748663103,0.016042780748663103
bottom4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bottom2,0.08,0.16666666666666666,0.42857142857142855,0.05660377358490566,0.0,0.3333333333333333,0.038834951456310676,0.05454545454545454,0.05454545454545454,0.0,0.42857142857142855,0.001669449081803005,0.01935483870967742,0.06,0.16,0.6666666666666666,0.0013083296990841692,0.14285714285714285,0.045454545454545456,0.6,0.2727272727272727,0.09302325581395349,0.07692307692307693,0.046153846153846156,0.0,0.25,0.14285714285714285,0.2222222222222222,0.1111111111111111,0.08571428571428572,0.047619047619047616,0.011904761904761904,0.043478260869565216,0.04838709677419355,0.03488372093023256,0.08108108108108109,0.0006193228736581337,0.016042780748663103,0.0,0.0,0.0013280212483399733
bottom1,0.058823529411764705,0.16666666666666666,0.42857142857142855,0.05660377358490566,0.0,0.23076923076923078,0.028846153846153848,0.05454545454545454,0.05454545454545454,0.0,0.42857142857142855,0.0,0.025974025974025976,0.06,0.11538461538461539,0.42857142857142855,0.0013083296990841692,0.10344827586206896,0.06153846153846154,0.6,0.2727272727272727,0.09302325581395349,0.07692307692307693,0.046153846153846156,0.0,0.17647058823529413,0.14285714285714285,0.15789473684210525,0.1111111111111111,0.11764705882352941,0.047619047619047616,0.0071090047393364926,0.043478260869565216,0.04838709677419355,0.03488372093023256,0.08108108108108109,0.0006193228736581337,0.016042780748663103,0.0,0.0013280212483399733,0.0
