,top3,lemartinp,nfmorenog,AFelipeGA,bottom3,dduartec,srmedinac,bottom1,wapiravaguens,davidh17,DianaNavarrete,jdmonroyg,jorge52an,top2,juclopezso,afforeroc,dagofonseca,top4,oacastillol,ncampuzano,adriel62,capinzor,ofnanezn,macuestap,bottom4,kgbayala528,lgmoralesa,ronaldsg20,cccristanchoc,jmalvarezd,smarquezo,sarizag,bottom2,DavidQP,afceballosr,lizzyt10h,top1,jumcorredorro
adriel62,0.02358362699918677,0.0026010404161664665,0.003386454183266932,0.0008024072216649949,0.004864759680871765,0.015391014975041598,0.0027849612094688683,0.00020052135552436334,0.0006016847172081829,0.00535077288941736,0.0006013229104028864,0.0012016823552974164,0.005880121396054629,0.0074102964118564745,0.0021982414068745003,0.0012033694344163659,0.009604302727621975,0.004964257347100874,0.006003098373353989,0.0027662517289073307,0.0,0.011557788944723618,0.04838709677419355,0.05325443786982249,0.0223463687150838,0.06746031746031746,0.06818181818181818,0.06772908366533864,0.022857142857142857,0.043689320388349516,0.03409090909090909,0.054945054945054944,0.018404907975460124,0.08095238095238096,0.07526881720430108,0.04242424242424243,0.0345252774352651,0.09364548494983277
capinzor,0.029589934762348554,0.006970509383378016,0.010615711252653927,0.0021598272138228943,0.005445544554455445,0.018721128130318503,0.004739336492890996,0.0005393743257820927,0.0016189962223421479,0.016238868517548456,0.0016163793103448276,0.0026867275658248252,0.009771986970684038,0.013459621136590228,0.006417112299465241,0.002696871628910464,0.019203072491598656,0.014736842105263158,0.01726689689195856,0.016221873364730507,0.011557788944723618,0.0,0.0053475935828877,0.0032310177705977385,0.008094981111710739,0.012960082944530845,0.01641079936474325,0.010346611484738748,0.002150537634408602,0.014957264957264958,0.0032240730789897904,0.006434316353887399,0.0016233766233766235,0.012175754367390153,0.010723860589812333,0.0032414910858995136,0.03527481542247744,0.018734177215189874
ofnanezn,0.003472222222222222,0.1111111111111111,0.13157894736842105,0.08571428571428572,0.009478672985781991,0.006364022061943148,0.046511627906976744,0.027777777777777776,0.08571428571428572,0.08928571428571429,0.07894736842105263,0.09090909090909091,0.01440922190201729,0.043689320388349516,0.10344827586206896,0.07894736842105263,0.04452054794520548,0.0784313725490196,0.05627705627705628,0.06896551724137931,0.04838709677419355,0.0053475935828877,0.0,0.0851063829787234,0.09803921568627451,0.10077519379844961,0.06930693069306931,0.09302325581395349,0.061224489795918366,0.15789473684210525,0.1,0.16071428571428573,0.08333333333333333,0.13636363636363635,0.08955223880597014,0.07142857142857142,0.02005730659025788,0.05263157894736842
macuestap,0.003105590062111801,0.16216216216216217,0.09523809523809523,0.23529411764705882,0.0,0.002981260647359455,0.08955223880597014,0.0,0.16666666666666666,0.09375,0.14285714285714285,0.2916666666666667,0.006006006006006006,0.058823529411764705,0.09302325581395349,0.2631578947368421,0.014084507042253521,0.06896551724137931,0.0365296803652968,0.028846153846153848,0.05325443786982249,0.0032310177705977385,0.0851063829787234,0.0,0.11428571428571428,0.041666666666666664,0.10975609756097561,0.06896551724137931,0.12903225806451613,0.09230769230769231,0.1875,0.2972972972972973,0.2222222222222222,0.07792207792207792,0.21739130434782608,0.3333333333333333,0.010174418604651164,0.045714285714285714
bottom4,0.0015473887814313346,0.09090909090909091,0.05714285714285714,0.08333333333333333,0.005,0.0008481764206955047,0.05405405405405406,0.0,0.08333333333333333,0.047619047619047616,0.07407407407407407,0.125,0.0,0.020100502512562814,0.061224489795918366,0.11538461538461539,0.01384083044982699,0.020833333333333332,0.017543859649122806,0.01818181818181818,0.0223463687150838,0.008094981111710739,0.09803921568627451,0.11428571428571428,0.0,0.04838709677419355,0.2,0.032,0.08108108108108109,0.05555555555555555,0.10256410256410256,0.08163265306122448,0.08,0.047619047619047616,0.07017543859649122,0.1,0.023391812865497075,0.016216216216216217
kgbayala528,0.007912584777694047,0.08943089430894309,0.17647058823529413,0.027522935779816515,0.007017543859649123,0.013256006628003313,0.05806451612903226,0.00909090909090909,0.027522935779816515,0.09497206703910614,0.026785714285714284,0.042735042735042736,0.02158273381294964,0.06642066420664207,0.09523809523809523,0.036036036036036036,0.06162464985994398,0.10179640718562874,0.09655172413793103,0.09392265193370165,0.06746031746031746,0.012960082944530845,0.10077519379844961,0.041666666666666664,0.04838709677419355,0.0,0.08982035928143713,0.06965174129353234,0.04132231404958678,0.17391304347826086,0.08403361344537816,0.06923076923076923,0.02727272727272727,0.07407407407407407,0.11363636363636363,0.043859649122807015,0.04105960264900662,0.07874015748031496
lgmoralesa,0.004182509505703422,0.12359550561797752,0.13513513513513514,0.05405405405405406,0.003968253968253968,0.006257822277847309,0.06557377049180328,0.0,0.04,0.18248175182481752,0.038461538461538464,0.07317073170731707,0.01818181818181818,0.07142857142857142,0.10638297872340426,0.06578947368421052,0.06153846153846154,0.12781954887218044,0.07984790874524715,0.10810810810810811,0.06818181818181818,0.01641079936474325,0.06930693069306931,0.10975609756097561,0.2,0.08982035928143713,0.0,0.06358381502890173,0.04395604395604396,0.16964285714285715,0.10112359550561797,0.1134020618556701,0.0379746835443038,0.1171875,0.13725490196078433,0.08641975308641975,0.045706371191135735,0.0945945945945946
ronaldsg20,0.00677710843373494,0.064,0.06711409395973154,0.027777777777777776,0.014184397163120567,0.009079653322327692,0.05161290322580645,0.018518518518518517,0.027777777777777776,0.08333333333333333,0.02702702702702703,0.06140350877192982,0.029055690072639227,0.06666666666666667,0.06201550387596899,0.045871559633027525,0.0708215297450425,0.09580838323353294,0.07094594594594594,0.053475935828877004,0.06772908366533864,0.010346611484738748,0.09302325581395349,0.06896551724137931,0.032,0.06965174129353234,0.06358381502890173,0.0,0.047058823529411764,0.10619469026548672,0.06976744186046512,0.1724137931034483,0.0410958904109589,0.11382113821138211,0.1111111111111111,0.09333333333333334,0.027434842249657063,0.07727272727272727
cccristanchoc,0.001937984496124031,0.07317073170731707,0.06060606060606061,0.15789473684210525,0.0,0.0012749681257968552,0.05714285714285714,0.0,0.15789473684210525,0.04950495049504951,0.13636363636363635,0.14285714285714285,0.005988023952095809,0.02577319587628866,0.09090909090909091,0.19047619047619047,0.01048951048951049,0.03296703296703297,0.017857142857142856,0.038461538461538464,0.022857142857142857,0.002150537634408602,0.061224489795918366,0.12903225806451613,0.08108108108108109,0.04132231404958678,0.04395604395604396,0.047058823529411764,0.0,0.07058823529411765,0.11538461538461539,0.07936507936507936,0.07692307692307693,0.08421052631578947,0.08571428571428572,0.11627906976744186,0.019971469329529243,0.04639175257731959
jmalvarezd,0.005370157268891446,0.14285714285714285,0.24705882352941178,0.07407407407407407,0.004310344827586207,0.011416490486257928,0.057692307692307696,0.017857142857142856,0.05454545454545454,0.17355371900826447,0.05172413793103448,0.0967741935483871,0.01639344262295082,0.0730593607305936,0.16666666666666666,0.08928571428571429,0.08695652173913043,0.14035087719298245,0.14782608695652175,0.14285714285714285,0.043689320388349516,0.014957264957264958,0.15789473684210525,0.09230769230769231,0.05555555555555555,0.17391304347826086,0.16964285714285715,0.10619469026548672,0.07058823529411765,0.0,0.1044776119402985,0.13513513513513514,0.05454545454545454,0.10185185185185185,0.16455696202531644,0.10344827586206896,0.04727793696275072,0.08955223880597014
