,Student,phase,novelty,group,abs_perform_diff_best,user2,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10
174,leguzman,1,0.4084507042253521,2,106.66999999999999,leguzman,0.0,2.0,5.0,2.0
175,JulianaNino,1,0.5,2,205.82999999999998,JulianaNino,1.0,1.0,3.0,1.0
176,cesarochoa2006,1,0.5375,2,173.32999999999998,cesarochoa2006,0.0,1.0,6.0,0.0
177,oserasoa,1,0.5538461538461539,2,205.82999999999998,oserasoa,4.0,3.0,3.0,1.0
178,luegilca,1,0.6097560975609756,2,130.83,luegilca,0.0,1.0,6.0,2.0
179,joaortizro,1,0.6296296296296297,2,152.5,joaortizro,0.0,2.0,2.0,1.0
180,kmendezp96,1,0.6486486486486487,2,74.16999999999999,kmendezp96,1.0,5.0,6.0,1.0
181,jucjimenezmo,1,0.6666666666666667,2,247.5,jucjimenezmo,0.0,0.0,3.0,2.0
182,HashNick,1,0.6666666666666667,2,260.0,HashNick,1.0,3.0,5.0,3.0
183,ykchautai,1,0.6956521739130435,2,98.33000000000001,ykchautai,4.0,4.0,4.0,1.0
184,Davsatu313,1,0.7027027027027026,2,52.5,Davsatu313,0.0,3.0,5.0,2.0
185,kancas,1,0.7068965517241379,2,222.5,kancas,0.0,0.0,5.0,2.0
186,Yelis3,1,0.7142857142857143,2,28.330000000000013,Yelis3,1.0,4.0,6.0,3.0
187,jusherrerama,1,0.7142857142857143,2,177.5,,,,,
188,Gantiva,1,0.7272727272727273,2,144.17000000000002,Gantiva,2.0,4.0,3.0,2.0
189,juasmartinezbel,1,0.7398373983739837,2,8.330000000000013,juasmartinezbel,0.0,5.0,5.0,2.0
190,jhriverasa,1,0.7692307692307692,2,117.08000000000001,jhriverasa,1.0,3.0,2.0,2.0
191,davidrh195,1,0.7777777777777778,2,260.0,davidrh195,3.0,3.0,5.0,1.0
192,jscontrerasp,1,0.7894736842105263,2,260.0,jscontrerasp,1.0,1.0,4.0,0.0
193,bdvegat,1,0.7903225806451613,2,260.0,bdvegat,1.0,2.0,4.0,1.0
194,Dandarprox,1,0.8133333333333334,2,154.57999999999998,Dandarprox,0.0,1.0,4.0,2.0
195,ligibrial,1,0.8181818181818181,2,126.66999999999999,ligibrial,1.0,5.0,3.0,2.0
196,fabianr23,1,0.8615384615384616,2,55.0,fabianr23,5.0,4.0,5.0,2.0
197,raulramirezp,1,0.912568306010929,2,260.0,raulramirezp,1.0,2.0,5.0,2.0
198,xdanielsb,1,0.9305555555555556,2,0.0,xdanielsb,3.0,3.0,3.0,2.0
199,begarzonf,1,0.9481641468682506,2,102.5,begarzonf,2.0,3.0,4.0,2.0
200,lsfinite,1,0.9803075768942235,2,197.5,lsfinite,1.0,1.0,6.0,3.0
201,idrojasf,1,0.9809220985691574,2,52.5,idrojasf,1.0,1.0,4.0,4.0
202,jhcardenasa,1,0.9821556031406139,2,260.0,jhcardenasa,4.0,4.0,5.0,3.0
203,JuanitoAli,1,0.9830866807610994,2,160.0,JuanitoAli,1.0,1.0,5.0,2.0
204,debeltranc,1,0.994535519125683,2,97.5,debeltranc,1.0,4.0,4.0,1.0
205,CSebasGomez,2,0.0,2,317.5,CSebasGomez,3.0,3.0,5.0,2.0
206,ccvacad,2,0.0,2,317.5,ccvacad,1.0,0.0,4.0,2.0
207,crarojasca,2,0.0,2,272.5,crarojasca,1.0,3.0,5.0,2.0
208,jhcardenasa,2,0.023468057366362483,2,317.5,jhcardenasa,4.0,4.0,5.0,3.0
209,JuanitoAli,2,0.03562231759656653,2,45.829999999999984,JuanitoAli,1.0,1.0,5.0,2.0
210,mdbelloc,2,0.34375,2,205.0,mdbelloc,1.0,3.0,2.0,2.0
211,diegocruz10,2,0.34375,2,201.67,diegocruz10,3.0,3.0,3.0,1.0
212,jjmuesesq,2,0.4,2,143.33,jjmuesesq,0.0,3.0,2.0,2.0
213,Phoenixest,2,0.4,2,218.32999999999998,Phoenixest,0.0,1.0,3.0,1.0
214,jhonsd1996,2,0.4,2,255.0,jhonsd1996,3.0,4.0,4.0,2.0
215,luealfonsoru,2,0.43023255813953487,2,192.5,luealfonsoru,3.0,4.0,4.0,2.0
216,leguzman,2,0.5841584158415842,2,85.83000000000001,leguzman,0.0,2.0,5.0,2.0
217,oserasoa,2,0.5857142857142856,2,234.17000000000002,oserasoa,4.0,3.0,3.0,1.0
218,ykchautai,2,0.59375,2,210.0,ykchautai,4.0,4.0,4.0,1.0
219,kancas,2,0.625,2,86.66999999999999,kancas,0.0,0.0,5.0,2.0
220,sagilm,2,0.6341463414634146,2,259.17,sagilm,0.0,0.0,3.0,1.0
221,luegilca,2,0.64,2,217.5,luegilca,0.0,1.0,6.0,2.0
222,joaortizro,2,0.64,2,61.670000000000016,joaortizro,0.0,2.0,2.0,1.0
223,cesarochoa2006,2,0.6507936507936508,2,74.16999999999999,cesarochoa2006,0.0,1.0,6.0,0.0
224,jucjimenezmo,2,0.6666666666666667,2,230.82999999999998,jucjimenezmo,0.0,0.0,3.0,2.0
225,kmendezp96,2,0.6708860759493671,2,119.16999999999999,kmendezp96,1.0,5.0,6.0,1.0
226,Davsatu313,2,0.7560975609756098,2,93.33000000000001,Davsatu313,0.0,3.0,5.0,2.0
227,jusherrerama,2,0.7631578947368421,2,168.33,,,,,
228,HashNick,2,0.7640449438202247,2,221.67000000000002,HashNick,1.0,3.0,5.0,3.0
229,ligibrial,2,0.7666666666666666,2,221.67000000000002,ligibrial,1.0,5.0,3.0,2.0
230,jhriverasa,2,0.7741935483870968,2,105.83000000000001,jhriverasa,1.0,3.0,2.0,2.0
231,davidrh195,2,0.7777777777777778,2,210.0,davidrh195,3.0,3.0,5.0,1.0
232,JulianaNino,2,0.7804878048780488,2,238.32999999999998,JulianaNino,1.0,1.0,3.0,1.0
