,adamantwharf,gasierram,bdcajicam,bottom4,dfhincapiem,helmeraac,dasalgadob,falperezgo,top5,bottom5,top1,gcantem,Semoralesga,top2,top3,stevenbustos,jufcontrerasco,dsbarrerag,wolfstain,miaborjaac,ivdgonzalezco,maikellPardo,Christian7sr,jsnarvaezb,gfalbarracinr,aldiazve,diegoaguevarar,fevargasmo,jmhurtadoc,anfmorenoso,nabautistal,crigar,jiapulidoar,jsviveroj,top4,jcrubioa,joahernandezca,bottom2,bottom1,JairVillalba
ivdgonzalezco,0.012605042016806723,0.04912280701754386,0.022388059701492536,0.0,0.01680672268907563,0.04065040650406504,0.02066115702479339,0.026496116948378255,0.030612244897959183,0.02197802197802198,0.008999653859466944,0.0,0.0099601593625498,0.06963788300835655,0.010947763528307789,0.03065134099616858,0.027777777777777776,0.023178807947019868,0.05333333333333334,0.09063444108761329,0.0,0.0,0.011764705882352941,0.03559870550161812,0.06865671641791045,0.011462534493738059,0.057065217391304345,0.023255813953488372,0.04960835509138381,0.043478260869565216,0.015625,0.0,0.03925619834710744,0.04697986577181208,0.05078125,0.06417112299465241,0.05013927576601671,0.0,0.0,0.039711191335740074
maikellPardo,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Christian7sr,0.5,0.046875,0.07692307692307693,0.0,0.42857142857142855,0.020134228187919462,0.0,0.0014910536779324055,0.04411764705882353,0.06818181818181818,0.001119402985074627,0.0,0.0013043478260869566,0.020134228187919462,0.0,0.08823529411764706,0.030612244897959183,0.04054054054054054,0.012552301255230125,0.023809523809523808,0.011764705882352941,0.0,0.0,0.0449438202247191,0.0234375,0.0011030222810500773,0.02531645569620253,0.05194805194805195,0.023391812865497075,0.07017543859649122,0.1,0.0,0.033707865168539325,0.04938271604938271,0.013029315960912053,0.01092896174863388,0.0273972602739726,0.0,0.0,0.05172413793103448
jsnarvaezb,0.04411764705882353,0.34375,0.2839506172839506,0.0,0.043478260869565216,0.07537688442211055,0.02666666666666667,0.0072744907856450046,0.25471698113207547,0.11224489795918367,0.009562339095255609,0.0,0.013281919451585262,0.16304347826086957,0.00327653997378768,0.1,0.1897810218978102,0.061068702290076333,0.07420494699646643,0.04945054945054945,0.03559870550161812,0.0,0.0449438202247191,0.0,0.06748466257668712,0.0039447731755424065,0.23493975903614459,0.16981132075471697,0.20441988950276244,0.19540229885057472,0.05555555555555555,0.0,0.03571428571428571,0.24271844660194175,0.07598784194528875,0.12534059945504086,0.23717948717948717,0.0,0.0,0.2839506172839506
gfalbarracinr,0.02830188679245283,0.07051282051282051,0.0364963503649635,0.0,0.028037383177570093,0.125,0.05504587155963303,0.013416387158600862,0.062111801242236024,0.035211267605633804,0.010897203051216855,0.0,0.013496415014761703,0.14545454545454545,0.010101010101010102,0.0873015873015873,0.05235602094240838,0.09937888198757763,0.06542056074766354,0.11707317073170732,0.06865671641791045,0.0,0.0234375,0.06748466257668712,0.0,0.006304347826086957,0.0811965811965812,0.04242424242424243,0.07258064516129033,0.10144927536231885,0.024793388429752067,0.0,0.03380281690140845,0.08641975308641975,0.06349206349206349,0.05733944954128441,0.08071748878923767,0.0,0.0,0.06293706293706294
aldiazve,0.0006647462884998893,0.003950834064969272,0.002203128442388191,0.0,0.000664599025254763,0.006698357821953328,0.0004424778761061947,0.03016900963512873,0.0037272527954395965,0.002421307506053269,0.01726089417091115,0.0,0.01581145584725537,0.008441558441558441,0.038456218010789876,0.0024266490183101697,0.0030474531998258597,0.00416210295728368,0.011501597444089457,0.006076388888888889,0.011462534493738059,0.0,0.0011030222810500773,0.0039447731755424065,0.006304347826086957,0.0,0.007800650054171181,0.0030728709394205445,0.0075610282998487795,0.0033076074972436605,0.0006638636866563399,0.0,0.007825719120135364,0.003730524467851657,0.00946372239747634,0.015464994775339603,0.007164567954841511,0.0,0.0,0.0030864197530864196
diegoaguevarar,0.021897810218978103,0.38461538461538464,0.2357142857142857,0.0,0.021739130434782608,0.33490566037735847,0.06569343065693431,0.016579819990525817,0.14124293785310735,0.0658682634730539,0.02030456852791878,0.0,0.02441077441077441,0.13654618473895583,0.013268608414239482,0.09090909090909091,0.1958762886597938,0.06666666666666667,0.08746355685131195,0.1111111111111111,0.057065217391304345,0.0,0.02531645569620253,0.23493975903614459,0.0811965811965812,0.007800650054171181,0.0,0.08641975308641975,0.5083798882681564,0.1386861313868613,0.024,0.0,0.030555555555555555,0.1320754716981132,0.09433962264150944,0.26358695652173914,0.5909090909090909,0.0,0.0,0.1386861313868613
fevargasmo,0.05357142857142857,0.20618556701030927,0.19480519480519481,0.0,0.05263157894736842,0.041237113402061855,0.0,0.004377431906614786,0.19801980198019803,0.1411764705882353,0.007371913011426466,0.0,0.009005145797598629,0.10989010989010989,0.0016420361247947454,0.07407407407407407,0.11851851851851852,0.07627118644067797,0.08148148148148149,0.052941176470588235,0.023255813953488372,0.0,0.05194805194805195,0.16981132075471697,0.04242424242424243,0.0030728709394205445,0.08641975308641975,0.0,0.11290322580645161,0.19230769230769232,0.04838709677419355,0.0,0.030100334448160536,0.19387755102040816,0.07861635220125786,0.08064516129032258,0.12345679012345678,0.0,0.0,0.19230769230769232
jmhurtadoc,0.02,0.36129032258064514,0.21568627450980393,0.0,0.019867549668874173,0.32142857142857145,0.06,0.015044663845792195,0.13756613756613756,0.07303370786516854,0.020946189960274468,0.0,0.02384937238493724,0.12121212121212122,0.013213019658395102,0.07738095238095238,0.18357487922705315,0.06763285024154589,0.10919540229885058,0.11428571428571428,0.04960835509138381,0.0,0.023391812865497075,0.20441988950276244,0.07258064516129033,0.0075610282998487795,0.5083798882681564,0.11290322580645161,0.0,0.13414634146341464,0.01935483870967742,0.0,0.04699738903394256,0.17318435754189945,0.0982367758186398,0.32,0.8092105263157895,0.0,0.0,0.11377245508982035
anfmorenoso,0.05405405405405406,0.24358974358974358,0.2,0.0,0.05263157894736842,0.08982035928143713,0.046511627906976744,0.0063976377952755905,0.20238095238095238,0.08450704225352113,0.008550185873605948,0.0,0.01039411000433088,0.1518987341772152,0.003976143141153081,0.24074074074074073,0.11965811965811966,0.16304347826086957,0.07936507936507936,0.06,0.043478260869565216,0.0,0.07017543859649122,0.19540229885057472,0.10144927536231885,0.0033076074972436605,0.1386861313868613,0.19230769230769232,0.13414634146341464,0.0,0.037037037037037035,0.0,0.0380952380952381,0.1724137931034483,0.07418397626112759,0.060453400503778336,0.12921348314606743,0.0,0.0,0.16666666666666666
