,improve-ur,improve-vis,improve-total,improve-novel,improve-tech,Group,Student,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,stage,count
137,0.0,4.170000000000002,41.67,0.0,37.5,3.0,juclopezso,1.0,3.0,3.0,2.0,2,1.0
138,0.0,0.0,37.5,0.0,37.5,3.0,afforeroc,1.0,4.0,3.0,2.0,2,0.0
139,20.0,0.0,132.5,75.0,37.5,3.0,dagofonseca,0.0,0.0,2.0,2.0,2,1.0
140,40.0,25.0,77.50000000000003,12.5,0.0,3.0,lacardenasv,1.0,2.0,5.0,4.0,2,2.0
141,0.0,0.0,25.0,-37.5,62.5,3.0,oacastillol,2.0,1.0,5.0,1.0,2,1.0
142,20.0,0.0,32.5,-37.5,50.0,3.0,ncampuzano,1.0,3.0,4.0,2.0,2,13.0
143,0.0,0.0,100.00000000000001,37.5,62.5,3.0,adriel62,1.0,3.0,5.0,2.0,2,2.0
144,0.0,0.0,12.5,-37.5,50.0,3.0,capinzor,0.0,0.0,2.0,2.0,2,0.0
145,20.0,37.5,120.0,25.0,37.5,3.0,ofnanezn,0.0,1.0,6.0,2.0,2,1.0
146,20.0,12.5,-23.75,-18.75,-37.5,3.0,macuestap,0.0,1.0,4.0,1.0,2,3.0
147,0.0,-25.0,-12.500000000000014,0.0,12.5,3.0,spenas,5.0,4.0,6.0,1.0,2,1.0
148,20.0,-4.170000000000002,15.829999999999998,0.0,0.0,3.0,kgbayala528,1.0,5.0,6.0,2.0,2,1.0
149,40.0,29.159999999999997,131.66,37.5,25.0,3.0,lgmoralesa,2.0,2.0,4.0,3.0,2,5.0
150,0.0,0.0,-20.830000000000013,-20.83,0.0,3.0,ronaldsg20,0.0,3.0,5.0,2.0,2,0.0
151,0.0,4.159999999999997,29.159999999999997,0.0,25.0,3.0,cccristanchoc,1.0,1.0,4.0,1.0,2,1.0
152,-60.0,-33.34,-130.84,-62.5,25.0,3.0,jmalvarezd,3.0,3.0,5.0,2.0,2,1.0
153,0.0,0.0,12.5,0.0,12.5,3.0,smarquezo,0.0,0.0,2.0,0.0,2,1.0
154,0.0,8.329999999999998,33.33000000000001,-12.5,37.5,3.0,sarizag,4.0,3.0,6.0,2.0,2,1.0
155,0.0,0.0,62.5,0.0,62.5,3.0,Chranium,4.0,5.0,6.0,2.0,2,0.0
156,0.0,-4.170000000000002,8.329999999999998,0.0,12.5,3.0,DavidQP,2.0,3.0,4.0,3.0,2,1.0
157,0.0,8.329999999999998,-16.67,-25.0,0.0,3.0,afceballosr,1.0,3.0,5.0,2.0,2,1.0
158,0.0,-29.17,-79.16999999999999,-25.0,-25.0,3.0,lizzyt10h,2.0,1.0,5.0,2.0,2,7.0
159,0.0,0.0,-12.5,0.0,-12.5,3.0,NicolasPrr,3.0,4.0,3.0,2.0,2,0.0
160,40.0,20.840000000000003,123.34,37.5,25.0,3.0,jumcorredorro,1.0,1.0,5.0,2.0,2,2.0
161,0.0,0.0,0.0,0.0,0.0,3.0,feartheGru,2.0,2.0,5.0,2.0,2,0.0
162,0.0,0.0,-37.5,0.0,-37.5,3.0,Danielsv9207,1.0,1.0,1.0,3.0,2,0.0
163,0.0,0.0,12.5,0.0,12.5,3.0,JhonEmmanuelTorres,5.0,4.0,5.0,2.0,2,0.0
164,0.0,0.0,0.0,0.0,0.0,0.0,fffeelipe,1.0,0.0,5.0,3.0,3,1.0
165,0.0,4.170000000000002,16.669999999999987,0.0,12.5,0.0,mnguzmanc,2.0,1.0,3.0,2.0,3,12.0
166,0.0,16.67,-8.330000000000013,-25.0,0.0,0.0,jmcuestasb,1.0,3.0,4.0,2.0,3,2.0
167,0.0,0.0,-12.5,0.0,-12.5,0.0,katherinsb,1.0,2.0,4.0,2.0,3,1.0
