,mnguzmanc,fffeelipe,jmcuestasb,katherinsb,jjrodriguezn,DglyP,cap182,Judgarciani,sacastroc,pcberriop,hsmartineza,Moimolcp,CamiloRueda,juanescai,JoseMolano,maikellPardoA,NicolasZon,camilo654,CristianLozano,jdsuarezj,pipemax85,juandavidro,UNhcrodriguezl,camilo13152,leavendanoro,cdcordobaa,capinillab,janoguerab,lfvalderrama,bsgarciac,gabi04,annipi,jdsolanos,jcneivaa,fmbernalb,MogGy94,yocuervoc,odprietoh
pipemax85,0.10743801652892562,0.0,0.08641975308641975,0.0,0.1111111111111111,0.18421052631578946,0.0,0.10638297872340426,0.21153846153846154,0.1044776119402985,0.16666666666666666,0.09090909090909091,0.030303030303030304,0.0,0.25925925925925924,0.0,0.1,0.14705882352941177,0.07692307692307693,0.16981132075471697,0.0,0.14615384615384616,0.14634146341463414,0.034482758620689655,0.1724137931034483,0.14285714285714285,0.11538461538461539,0.08695652173913043,0.1590909090909091,0.08928571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07058823529411765
juandavidro,0.1650485436893204,0.0,0.07777777777777778,0.0,0.04285714285714286,0.07857142857142857,0.0,0.0821917808219178,0.12666666666666668,0.125,0.18248175182481752,0.07096774193548387,0.017543859649122806,0.0,0.3282442748091603,0.0,0.05303030303030303,0.050724637681159424,0.022900763358778626,0.19148936170212766,0.14615384615384616,0.0,0.034013605442176874,0.015037593984962405,0.05303030303030303,0.04316546762589928,0.046875,0.023622047244094488,0.10638297872340426,0.0641025641025641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06521739130434782
UNhcrodriguezl,0.045454545454545456,0.0,0.045454545454545456,0.0,0.07317073170731707,0.13953488372093023,0.0,0.05660377358490566,0.08064516129032258,0.08333333333333333,0.05263157894736842,0.06666666666666667,0.02857142857142857,0.0,0.07462686567164178,0.0,0.05714285714285714,0.04878048780487805,0.06666666666666667,0.06451612903225806,0.14634146341463414,0.034013605442176874,0.0,0.0,0.034482758620689655,0.1566265060240964,0.0625,0.038461538461538464,0.13829787234042554,0.07339449541284404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13076923076923078
camilo13152,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.020833333333333332,0.034482758620689655,0.015037593984962405,0.0,0.0,0.13043478260869565,0.10344827586206896,0.10526315789473684,0.13333333333333333,0.075,0.08163265306122448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0641025641025641
leavendanoro,0.05042016806722689,0.0,0.11267605633802817,0.0,0.10714285714285714,0.09090909090909091,0.0,0.04878048780487805,0.125,0.04838709677419355,0.06818181818181818,0.10869565217391304,0.05357142857142857,0.0,0.07272727272727272,0.0,0.14285714285714285,0.1111111111111111,0.1875,0.06,0.1724137931034483,0.05303030303030303,0.034482758620689655,0.13043478260869565,0.0,0.08108108108108109,0.16,0.13636363636363635,0.0851063829787234,0.05172413793103448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03409090909090909
cdcordobaa,0.056451612903225805,0.0,0.04938271604938271,0.0,0.08823529411764706,0.16666666666666666,0.0,0.08888888888888889,0.07142857142857142,0.07575757575757576,0.10416666666666667,0.07547169811320754,0.04838709677419355,0.0,0.08333333333333333,0.0,0.2,0.125,0.13636363636363635,0.09259259259259259,0.14285714285714285,0.04316546762589928,0.1566265060240964,0.10344827586206896,0.08108108108108109,0.0,0.11428571428571428,0.09375,0.10909090909090909,0.05970149253731343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1744186046511628
capinillab,0.034482758620689655,0.0,0.07246376811594203,0.0,0.13043478260869565,0.19230769230769232,0.0,0.08571428571428572,0.08888888888888889,0.09090909090909091,0.07692307692307693,0.12195121951219512,0.058823529411764705,0.0,0.08,0.0,0.1875,0.13636363636363635,0.2727272727272727,0.09090909090909091,0.11538461538461539,0.046875,0.0625,0.10526315789473684,0.16,0.11428571428571428,0.0,0.15,0.4,0.1346153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08536585365853659
janoguerab,0.02654867256637168,0.0,0.04477611940298507,0.0,0.15789473684210525,0.125,0.0,0.0625,0.07142857142857142,0.05660377358490566,0.08571428571428572,0.07692307692307693,0.06382978723404255,0.0,0.06382978723404255,0.0,0.25,0.16666666666666666,0.42857142857142855,0.07317073170731707,0.08695652173913043,0.023622047244094488,0.038461538461538464,0.13333333333333333,0.13636363636363635,0.09375,0.15,0.0,0.06557377049180328,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353
lfvalderrama,0.11811023622047244,0.0,0.07865168539325842,0.0,0.17073170731707318,0.1276595744680851,0.0,0.15384615384615385,0.18333333333333332,0.18840579710144928,0.28,0.11475409836065574,0.0410958904109589,0.0,0.22580645161290322,0.0,0.07894736842105263,0.14634146341463414,0.09090909090909091,0.25,0.1590909090909091,0.10638297872340426,0.13829787234042554,0.075,0.0851063829787234,0.10909090909090909,0.4,0.06557377049180328,0.0,0.0821917808219178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04807692307692308
bsgarciac,0.05555555555555555,0.0,0.0707070707070707,0.0,0.07407407407407407,0.14545454545454545,0.0,0.07692307692307693,0.1095890410958904,0.13580246913580246,0.07246376811594203,0.05405405405405406,0.03614457831325301,0.0,0.075,0.0,0.0625,0.07547169811320754,0.06976744186046512,0.05263157894736842,0.08928571428571429,0.0641025641025641,0.07339449541284404,0.08163265306122448,0.05172413793103448,0.05970149253731343,0.1346153846153846,0.041666666666666664,0.0821917808219178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15178571428571427
gabi04,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03773584905660377
annipi,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
jdsolanos,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
jcneivaa,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
fmbernalb,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
MogGy94,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
yocuervoc,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
odprietoh,0.04597701149425287,0.0,0.0625,0.0,0.047619047619047616,0.13414634146341464,0.0,0.05263157894736842,0.0673076923076923,0.07964601769911504,0.061224489795918366,0.058823529411764705,0.03571428571428571,0.0,0.06422018348623854,0.0,0.08,0.07407407407407407,0.0410958904109589,0.057692307692307696,0.07058823529411765,0.06521739130434782,0.13076923076923078,0.0641025641025641,0.03409090909090909,0.1744186046511628,0.08536585365853659,0.029411764705882353,0.04807692307692308,0.15178571428571427,0.03773584905660377,0.0,0.0,0.0,0.0,0.0,0.0,0.0
