,Student,group,abs_perform_diff_best,phase,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,similarity,user2,novelty,ln_novelty
90,wapiravaguens,3,137.5,3,0.0,1.0,4.0,2.0,0.03125,wapiravaguens,0.4,0.3364722366212129
91,davidh17,3,109.16999999999999,3,3.0,3.0,5.0,3.0,0.16455696202531644,davidh17,0.7850467289719626,0.5794445935847238
92,DianaNavarrete,3,182.5,3,0.0,1.0,5.0,2.0,0.030303030303030304,DianaNavarrete,0.625,0.4855078157817008
93,jdmonroyg,3,330.0,3,0.0,1.0,4.0,1.0,0.0,jdmonroyg,0.0,0.0
94,jorge52an,3,167.5,3,4.0,4.0,5.0,2.0,0.0440771349862259,jorge52an,0.9559228650137741,0.6708621357705103
95,jscastelblancoh,3,99.16999999999999,3,0.0,0.0,3.0,2.0,0.08366533864541832,jscastelblancoh,0.9136363636363636,0.6490052873300198
96,juclopezso,3,218.32999999999998,3,1.0,3.0,3.0,2.0,0.05982905982905983,juclopezso,0.8103448275862069,0.593517339611104
97,afforeroc,3,226.67000000000002,3,1.0,4.0,3.0,2.0,0.05154639175257732,afforeroc,0.4285714285714286,0.3566749439387324
98,dagofonseca,3,102.5,3,0.0,0.0,2.0,2.0,0.07975460122699386,dagofonseca,0.9125874125874126,0.6484569916021286
99,lacardenasv,3,65.82999999999998,3,1.0,2.0,5.0,4.0,0.2251655629139073,lacardenasv,0.7,0.5306282510621704
100,oacastillol,3,209.17000000000002,3,2.0,1.0,5.0,1.0,0.08878504672897196,oacastillol,0.7848101265822784,0.5793120379111467
101,ncampuzano,3,213.32999999999998,3,1.0,3.0,4.0,2.0,0.11805555555555555,ncampuzano,0.6526315789473685,0.5023689137477673
102,adriel62,3,139.17,3,1.0,3.0,5.0,2.0,0.005741437339140764,adriel62,0.9768904690277588,0.6815251400374913
103,capinzor,3,122.5,3,0.0,0.0,2.0,2.0,0.01353461738677772,capinzor,0.9699194694457604,0.6779926634604216
104,ofnanezn,3,181.67,3,0.0,1.0,6.0,2.0,0.08403361344537816,ofnanezn,0.813953488372093,0.5955087109960294
105,macuestap,3,185.0,3,0.0,1.0,4.0,1.0,0.07692307692307693,macuestap,0.6666666666666667,0.5108256237659907
106,spenas,3,214.17000000000002,3,5.0,4.0,6.0,1.0,0.02631578947368421,spenas,0.7538461538461538,0.5618111784988583
107,kgbayala528,3,78.33000000000001,3,1.0,5.0,6.0,2.0,0.1092896174863388,kgbayala528,0.8235294117647058,0.6007738604289301
108,lgmoralesa,3,20.0,3,2.0,2.0,4.0,3.0,0.1342281879194631,lgmoralesa,0.6796116504854368,0.5185626062681431
109,ronaldsg20,3,172.5,3,0.0,3.0,5.0,2.0,0.0918918918918919,ronaldsg20,0.8760330578512396,0.6291594718846616
110,cccristanchoc,3,226.67000000000002,3,1.0,1.0,4.0,1.0,0.03669724770642202,cccristanchoc,0.8095238095238095,0.5930637220029628
111,jmalvarezd,3,55.0,3,3.0,3.0,5.0,2.0,0.13740458015267176,jmalvarezd,0.7162162162162162,0.5401219932544216
112,smarquezo,3,218.32999999999998,3,0.0,0.0,2.0,0.0,0.05454545454545454,smarquezo,0.7142857142857143,0.5389965007326871
113,sarizag,3,201.67,3,4.0,3.0,6.0,2.0,0.09565217391304348,sarizag,0.6944444444444444,0.5273549257172012
114,Chranium,3,235.0,3,4.0,5.0,6.0,2.0,0.030927835051546393,Chranium,0.5,0.4054651081081644
115,DavidQP,3,205.82999999999998,3,2.0,3.0,4.0,3.0,0.09523809523809523,DavidQP,0.8636363636363636,0.622529613345992
116,afceballosr,3,226.67000000000002,3,1.0,3.0,5.0,2.0,0.13559322033898305,afceballosr,0.7777777777777778,0.5753641449035618
117,lizzyt10h,3,184.17,3,2.0,1.0,5.0,2.0,0.08163265306122448,lizzyt10h,0.5,0.4054651081081644
118,NicolasPrr,3,221.67000000000002,3,3.0,4.0,3.0,2.0,0.048846675712347354,NicolasPrr,0.6570188133140376,0.5050200922206701
119,jumcorredorro,3,0.0,3,1.0,1.0,5.0,2.0,,jumcorredorro,0.8932038834951457,0.638270570334111
120,feartheGru,3,330.0,3,2.0,2.0,5.0,2.0,0.0,feartheGru,0.0,0.0
121,Danielsv9207,3,330.0,3,1.0,1.0,1.0,3.0,0.0,Danielsv9207,0.0,0.0
122,JhonEmmanuelTorres,3,330.0,3,5.0,4.0,5.0,2.0,0.0,JhonEmmanuelTorres,0.0,0.0
123,lemartinp,3,57.5,4,0.0,0.0,4.0,1.0,0.005436893203883495,lemartinp,0.7872340425531915,0.5806691971332549
