,mnguzmanc,fffeelipe,jmcuestasb,katherinsb,jjrodriguezn,DglyP,cap182,Judgarciani,sacastroc,pcberriop,hsmartineza,Moimolcp,CamiloRueda,juanescai,top2,maikellPardoA,NicolasZon,camilo654,CristianLozano,top1,pipemax85,juandavidro,UNhcrodriguezl,camilo13152,leavendanoro,cdcordobaa,capinillab,janoguerab,top4,top3,gabi04,annipi,bottom2,jcneivaa,bottom3,bottom4,yocuervoc,bottom1
pipemax85,0.005256241787122208,0.18181818181818182,0.08536585365853659,0.0,0.13953488372093023,0.1794871794871795,0.0,0.06164383561643835,0.14634146341463414,0.16666666666666666,0.13846153846153847,0.06382978723404255,0.029850746268656716,0.0,0.24561403508771928,0.08333333333333333,0.0967741935483871,0.14285714285714285,0.07407407407407407,0.11392405063291139,0.0,0.183206106870229,0.21839080459770116,0.10526315789473684,0.1111111111111111,0.15384615384615385,0.37142857142857144,0.12280701754385964,0.21428571428571427,0.1891891891891892,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0
juandavidro,0.022146507666098807,0.06802721088435375,0.07777777777777778,0.0,0.18461538461538463,0.07857142857142857,0.0,0.1111111111111111,0.13068181818181818,0.2923076923076923,0.2605633802816901,0.06770833333333333,0.017543859649122806,0.0,0.3233082706766917,0.0234375,0.05303030303030303,0.050724637681159424,0.022900763358778626,0.19135802469135801,0.183206106870229,0.0,0.13414634146341464,0.07407407407407407,0.15625,0.09302325581395349,0.5217391304347826,0.0625,0.25,0.171875,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNhcrodriguezl,0.009879725085910653,0.10204081632653061,0.050724637681159424,0.0,0.3125,0.13333333333333333,0.0,0.10471204188481675,0.13636363636363635,0.4166666666666667,0.31313131313131315,0.08333333333333333,0.02459016393442623,0.0,0.4431818181818182,0.0379746835443038,0.1111111111111111,0.07865168539325842,0.036585365853658534,0.23076923076923078,0.21839080459770116,0.13414634146341464,0.0,0.04040404040404041,0.027777777777777776,0.14150943396226415,0.1978021978021978,0.05042016806722689,0.13157894736842105,0.192,0.1016949152542373,0.0,0.0,0.0,0.0,0.0,0.0,0.0
camilo13152,0.0017520805957074025,0.1,0.06578947368421052,0.0,0.05128205128205128,0.11764705882352941,0.0,0.020833333333333332,0.075,0.0784313725490196,0.047619047619047616,0.033707865168539325,0.03389830508474576,0.0,0.05,0.125,0.08333333333333333,0.10344827586206896,0.10526315789473684,0.03896103896103896,0.10526315789473684,0.07407407407407407,0.04040404040404041,0.0,0.045454545454545456,0.0625,0.15384615384615385,0.06,0.12244897959183673,0.16071428571428573,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leavendanoro,0.0034980323567993005,0.061224489795918366,0.09876543209876543,0.0,0.06521739130434782,0.06976744186046512,0.0,0.019736842105263157,0.06818181818181818,0.05,0.04225352112676056,0.05263157894736842,0.045454545454545456,0.0,0.05970149253731343,0.13043478260869565,0.0967741935483871,0.08108108108108109,0.11538461538461539,0.03529411764705882,0.1111111111111111,0.15625,0.027777777777777776,0.045454545454545456,0.0,0.04918032786885246,0.08333333333333333,0.11475409836065574,0.058823529411764705,0.05747126436781609,0.04285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cdcordobaa,0.005671902268760907,0.14814814814814814,0.042105263157894736,0.0,0.11320754716981132,0.19148936170212766,0.0,0.050955414012738856,0.08333333333333333,0.10606060606060606,0.10526315789473684,0.06796116504854369,0.039473684210526314,0.0,0.0945945945945946,0.09090909090909091,0.1282051282051282,0.19047619047619047,0.08333333333333333,0.08888888888888889,0.15384615384615385,0.09302325581395349,0.14150943396226415,0.0625,0.04918032786885246,0.0,0.13043478260869565,0.0625,0.09090909090909091,0.08235294117647059,0.07352941176470588,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capinillab,0.006584723441615452,0.19047619047619047,0.0875,0.0,0.38235294117647056,0.2222222222222222,0.0,0.10071942446043165,0.1794871794871795,0.32608695652173914,0.2413793103448276,0.08888888888888889,0.046875,0.0,0.3018867924528302,0.14285714285714285,0.10344827586206896,0.15151515151515152,0.125,0.2112676056338028,0.37142857142857144,0.5217391304347826,0.1978021978021978,0.15384615384615385,0.08333333333333333,0.13043478260869565,0.0,0.05660377358490566,0.30434782608695654,0.2698412698412698,0.10909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0
janoguerab,0.00785683107813182,0.06451612903225806,0.061855670103092786,0.0,0.05,0.09090909090909091,0.0,0.03680981595092025,0.06930693069306931,0.06944444444444445,0.03529411764705882,0.06542056074766354,0.0375,0.0,0.036585365853658534,0.08108108108108109,0.11627906976744186,0.08,0.075,0.0625,0.12280701754385964,0.0625,0.05042016806722689,0.06,0.11475409836065574,0.0625,0.05660377358490566,0.0,0.07042253521126761,0.054945054945054944,0.06944444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0
top4,0.006965607313887679,0.1111111111111111,0.07,0.0,0.21818181818181817,0.10344827586206896,0.0,0.0880503144654088,0.16666666666666666,0.208955223880597,0.29577464788732394,0.07272727272727272,0.03571428571428571,0.0,0.18666666666666668,0.07317073170731707,0.061224489795918366,0.11538461538461539,0.06818181818181818,0.19101123595505617,0.21428571428571427,0.25,0.13157894736842105,0.12244897959183673,0.058823529411764705,0.09090909090909091,0.30434782608695654,0.07042253521126761,0.0,0.1782178217821782,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
top3,0.009083044982698962,0.15384615384615385,0.06722689075630252,0.0,0.22535211267605634,0.1506849315068493,0.0,0.10285714285714286,0.14782608695652175,0.24691358024691357,0.19148936170212766,0.078125,0.028846153846153848,0.0,0.23863636363636365,0.04918032786885246,0.09090909090909091,0.08333333333333333,0.046875,0.16666666666666666,0.1891891891891892,0.171875,0.192,0.16071428571428573,0.05747126436781609,0.08235294117647059,0.2698412698412698,0.054945054945054944,0.1782178217821782,0.0,0.09302325581395349,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gabi04,0.004776378636561007,0.04411764705882353,0.04854368932038835,0.0,0.11475409836065574,0.06557377049180328,0.0,0.06748466257668712,0.0761904761904762,0.15492957746478872,0.10714285714285714,0.0625,0.03529411764705882,0.0,0.1111111111111111,0.07142857142857142,0.17777777777777778,0.05357142857142857,0.06666666666666667,0.12631578947368421,0.09523809523809523,0.12,0.1016949152542373,0.11,0.04285714285714286,0.07352941176470588,0.10909090909090909,0.06944444444444445,0.1111111111111111,0.09302325581395349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
annipi,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
bottom2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
jcneivaa,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
bottom3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
bottom4,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
yocuervoc,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
bottom1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
