,Unnamed: 0,Student,phase,novelty,group,abs_perform_diff_best,user2,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,count,total,user-requirement,infovis,novelty_score
372,387,jcrubioa,2,0.659025787965616,1,145.83,jcrubioa,0.0,0.0,5.0,2.0,0.0,205.42,20.0,29.17,81.25
373,388,anfmorenoso,2,0.674418604651163,1,217.5,anfmorenoso,0.0,2.0,5.0,2.0,1.0,115.83,20.0,33.33,0.0
374,389,jsviveroj,2,0.695652173913044,1,180.0,jsviveroj,1.0,3.0,4.0,2.0,3.0,293.33,60.0,58.33,87.5
375,390,djguzmanc,2,0.706896551724138,1,67.08,djguzmanc,0.0,5.0,6.0,3.0,3.0,305.0,80.0,62.5,100.0
376,391,jsnarvaezb,2,0.712328767123288,1,125.83,jsnarvaezb,0.0,1.0,3.0,2.0,3.0,228.33,20.0,58.33,87.5
377,392,stevenbustos,2,0.714285714285714,1,230.0,stevenbustos,0.0,1.0,0.0,1.0,1.0,103.33,20.0,33.33,0.0
378,393,fevargasmo,2,0.736842105263158,1,204.16,fevargasmo,2.0,3.0,4.0,4.0,1.0,313.33,80.0,58.33,100.0
379,394,jufcontrerasco,2,0.769230769230769,1,225.0,jufcontrerasco,0.0,0.0,5.0,2.0,3.0,128.33,20.0,33.33,25.0
380,395,gsuarezc04,2,0.821428571428571,1,200.0,gsuarezc04,1.0,1.0,3.0,2.0,0.0,50.0,0.0,25.0,0.0
381,396,jonatan360,2,0.823008849557522,1,105.83,jonatan360,4.0,4.0,6.0,4.0,5.0,332.92,60.0,79.17,93.75
382,397,gfalbarracinr,2,0.825,1,270.83,gfalbarracinr,1.0,1.0,5.0,2.0,1.0,75.0,0.0,25.0,0.0
383,398,daandradec,2,0.850931677018634,1,20.0,daandradec,2.0,2.0,6.0,2.0,0.0,240.83,20.0,58.33,62.5
384,399,dsbarrerag,2,0.878048780487805,1,0.0,dsbarrerag,0.0,4.0,5.0,2.0,1.0,325.0,100.0,62.5,87.5
385,400,wolfstain,2,0.894366197183099,1,142.5,wolfstain,3.0,3.0,6.0,0.0,3.0,195.0,20.0,25.0,62.5
386,401,miaborjaac,2,0.895287958115183,1,217.5,miaborjaac,0.0,0.0,4.0,1.0,3.0,300.83,80.0,58.33,87.5
387,402,helmeraac,2,0.902654867256637,1,183.33,helmeraac,5.0,4.0,6.0,4.0,2.0,54.17,0.0,29.17,0.0
388,403,ivdgonzalezco,2,0.912903225806452,1,205.0,ivdgonzalezco,1.0,4.0,4.0,2.0,1.0,124.17,20.0,29.17,0.0
389,404,oeroaq,2,0.939879759519038,1,45.0,oeroaq,4.0,4.0,5.0,3.0,7.0,320.83,100.0,58.33,87.5
390,405,aldiazve,2,0.951955651370496,1,122.5,aldiazve,0.0,3.0,6.0,3.0,1.0,229.58,40.0,45.83,68.75
391,406,falperezgo,2,0.951955651370496,1,3.32999999999998,falperezgo,4.0,4.0,5.0,3.0,2.0,338.33,80.0,58.33,100.0
392,407,jiapulidoar,2,0.953002610966057,1,76.66,jiapulidoar,4.0,4.0,5.0,2.0,2.0,281.67,40.0,66.67,75.0
393,408,jesusfchavarro,2,0.969967151572032,1,44.16,jesusfchavarro,4.0,3.0,6.0,3.0,10.0,345.83,100.0,70.83,100.0
394,408,jesusfchavarro,2,0.969967151572032,1,44.16,jesusfchavarro,4.0,3.0,6.0,3.0,10.0,345.83,100.0,70.83,100.0
395,409,jesusfchavarro,2,0.969967151572032,1,44.16,jesusfchavarro,5.0,3.0,6.0,3.0,10.0,345.83,100.0,70.83,100.0
396,409,jesusfchavarro,2,0.969967151572032,1,44.16,jesusfchavarro,5.0,3.0,6.0,3.0,10.0,345.83,100.0,70.83,100.0
397,410,crigar,3,0.0,1,263.33,crigar,1.0,0.0,2.0,4.0,0.0,107.5,20.0,25.0,0.0
398,411,Zeugmax,3,0.0,1,345.83,Zeugmax,1.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0
399,412,ItsNavi,3,0.0,1,345.83,ItsNavi,1.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0
400,413,andfsanchezlem,3,0.0,1,300.83,andfsanchezlem,0.0,1.0,3.0,1.0,1.0,45.0,20.0,25.0,0.0
401,414,maikellPardo,3,0.0,1,287.5,maikellPardo,4.0,4.0,4.0,2.0,0.0,75.0,0.0,25.0,25.0
402,415,diegoaguevarar,3,0.115942028985507,1,20.83,diegoaguevarar,0.0,1.0,5.0,2.0,0.0,312.5,100.0,75.0,62.5
403,416,joahernandezca,3,0.128571428571429,1,237.5,joahernandezca,1.0,1.0,0.0,0.0,0.0,132.5,20.0,37.5,25.0
404,417,jmhurtadoc,3,0.18,1,225.0,jmhurtadoc,6.0,6.0,6.0,2.0,0.0,116.67,0.0,29.17,25.0
405,418,Semoralesga,3,0.246809939556749,1,167.5,Semoralesga,4.0,3.0,4.0,2.0,1.0,178.33,20.0,33.33,62.5
406,419,dfhincapiem,3,0.25,1,238.33,dfhincapiem,4.0,1.0,5.0,1.0,0.0,107.5,20.0,50.0,0.0
407,420,adamantwharf,3,0.25,1,250.83,,,,,,0.0,95.0,20.0,25.0,0.0
